Batch,cellline,agent,type,group,Subtype1,Subtype2,GR50,log10GR50,median,SubMedian_Log10GR50,Order
B52,HuCCA1,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.14012799,-0.853475107,-0.853475107,-4.81E-10,0.2
B52,HuCCT1,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,2.483371082,0.39504162,-0.853475107,1.248516727,0.2
B52,HUH28,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.042163775,-1.375060513,-0.853475107,-0.521585406,0.2
B52,KKKD068,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.124390622,-0.905212361,-0.853475107,-0.051737254,0.2
B52,KKKD131,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.070738541,-1.150343902,-0.853475107,-0.296868795,0.2
B52,KKKD138,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.127846042,-0.893312713,-0.853475107,-0.039837606,0.2
B52,KKU055,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.743829647,-0.128526516,-0.853475107,0.724948591,0.2
B52,KKU100,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.094824783,-1.023078142,-0.853475107,-0.169603035,0.2
B52,KKU156,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.070548312,-1.151513373,-0.853475107,-0.298038266,0.2
B52,KKU213,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,2.158525766,0.334157237,-0.853475107,1.187632344,0.2
B52,KKU214,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.141578101,-0.849003917,-0.853475107,0.00447119,0.2
B52,MMNK1,Dasatinib,Targeted drug,Cholangiocyte,ABL_signaling,ABL_signaling_Src_Abl,9.173545499,0.962537219,-0.853475107,1.816012326,0.2
B52,RBE,Dasatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.022997348,-1.638322243,-0.853475107,-0.784847136,0.2
B52,SSP25,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.17591571,-0.754695375,-0.853475107,0.098779732,0.2
B52,TFK1,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.144187774,-0.841071563,-0.853475107,0.012403544,0.2
B52,YSCCC,Dasatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,0.215454249,-0.666644937,-0.853475107,0.18683017,0.2
B53,HuCCA1,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,10,1,0.396329179,0.603670821,5
B53,HuCCT1,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.405785029,-0.39170398,0.396329179,-0.788033158,7
B53,HUH28,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,6.435625773,0.808590782,0.396329179,0.412261604,7
B53,KKKD068,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,1.424333111,0.15361157,0.396329179,-0.242717608,7
B53,KKKD131,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.915169436,-0.038498492,0.396329179,-0.434827671,7
B53,KKKD138,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,2.288345005,0.359521502,0.396329179,-0.036807677,7
B53,KKU055,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,10,1,0.396329179,0.603670821,7
B53,KKU100,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,10,1,0.396329179,0.603670821,7
B53,KKU156,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,2.490744492,0.396329179,0.396329179,0,7
B53,KKU213,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,2.164906352,0.335439115,0.396329179,-0.060890064,7
B53,KKU214,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,7.290000638,0.862727566,0.396329179,0.466398388,7
NA,MMNK1,FiveFU,Chemotherapeutic drug,Cholangiocyte,Pyrimidine_antagonists,Pyrimidine_antagonists,10,1,0.396329179,0.603670821,7
B53,RBE,FiveFU,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,3.465757304,0.539798147,0.396329179,0.143468969,7
B53,SSP25,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,4.575146685,0.660405023,0.396329179,0.264075844,7
B53,TFK1,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.188165534,-0.725459923,0.396329179,-1.121789101,7
B53,YSCCC,FiveFU,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,1.805776841,0.256664079,0.396329179,-0.1396651,7
B54,HuCCA1,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,10,1,-1.808833103,2.808833103,6
B54,HuCCT1,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.010629832,-1.973473599,-1.808833103,-0.164640497,6
B54,HUH28,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.009765625,-2.010299957,-1.808833103,-0.201466854,6
B54,KKKD068,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.009765625,-2.010299957,-1.808833103,-0.201466854,6
B54,KKKD131,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.026127238,-1.582906499,-1.808833103,0.225926604,6
B54,KKKD138,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,0.009765625,-2.010299957,-1.808833103,-0.201466854,6
B54,KKU055,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.017251817,-1.763165157,-1.808833103,0.045667945,6
B54,KKU100,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.009765625,-2.010299957,-1.808833103,-0.201466854,6
B54,KKU156,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,0.024245271,-1.615372957,-1.808833103,0.193460145,6
B54,KKU213,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,0.02025986,-1.69336356,-1.808833103,0.115469543,6
B54,KKU214,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,0.017520269,-1.75645923,-1.808833103,0.052373872,6
NA,MMNK1,Gemcitabine,Chemotherapeutic drug,Cholangiocyte,Pyrimidine_antagonists,Pyrimidine_antagonists,0.002951958,-2.529889826,-1.808833103,-0.721056723,6
B54,RBE,Gemcitabine,Chemotherapeutic drug,CCA Subgroup1,Pyrimidine_antagonists,Pyrimidine_antagonists,0.009765625,-2.010299957,-1.808833103,-0.201466854,6
B54,SSP25,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.011138611,-1.953168963,-1.808833103,-0.14433586,6
B54,TFK1,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.015529837,-1.808833103,-1.808833103,0,6
B54,YSCCC,Gemcitabine,Chemotherapeutic drug,CCA Subgroup2,Pyrimidine_antagonists,Pyrimidine_antagonists,0.122608548,-0.911479251,-1.808833103,0.897353852,6
B29,HuCCA1,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.768187399,-0.114532821,0.401294165,-0.515826986,1
B29,HuCCT1,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,10,1,0.401294165,0.598705835,1
B29,HUH28,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,2.504174843,0.398664648,0.401294165,-0.002629516,1
B29,KKKD068,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,10,1,0.401294165,0.598705835,1
B29,KKKD131,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,9.641277325,0.984134575,0.401294165,0.582840411,1
B29,KKKD138,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,1.180236951,0.071969207,0.401294165,-0.329324957,1
B29,KKU055,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,4.079945487,0.61065436,0.401294165,0.209360196,1
B29,KKU100,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,4.894274777,0.689688348,0.401294165,0.288394184,1
B29,KKU156,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.730195536,-0.136560826,0.401294165,-0.537854991,1
B29,KKU213,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,1.206615974,0.081569071,0.401294165,-0.319725094,1
B29,KKU214,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.653135086,-0.184996986,0.401294165,-0.58629115,1
NA,MMNK1,Saracatinib,Targeted drug,Cholangiocyte,ABL_signaling,ABL_signaling_Src_Abl,10,1,0.401294165,0.598705835,1
B29,RBE,Saracatinib,Targeted drug,CCA Subgroup1,ABL_signaling,ABL_signaling_Src_Abl,0.533730617,-0.272677884,0.401294165,-0.673972048,1
B29,SSP25,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,2.519382826,0.401294165,0.401294165,0,1
B29,TFK1,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,4.846060813,0.68538886,0.401294165,0.284094695,1
B29,YSCCC,Saracatinib,Targeted drug,CCA Subgroup2,ABL_signaling,ABL_signaling_Src_Abl,4.079260486,0.610581439,0.401294165,0.209287274,1
B35,HuCCA1,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.028553956,-1.544333714,0.247948477,-1.792282191,3
B35,HuCCT1,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.791669618,-0.101456022,0.247948477,-0.349404499,3
B35,HUH28,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.432376214,-0.364138206,0.247948477,-0.612086683,3
B35,KKKD068,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,7.636516556,0.882895298,0.247948477,0.634946821,3
B35,KKKD131,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,3.003763233,0.477665697,0.247948477,0.22971722,3
B35,KKKD138,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.356595993,-0.447823541,0.247948477,-0.695772018,3
B35,KKU055,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,0.247948477,0.752051523,3
B35,KKU100,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,4.839960121,0.684841783,0.247948477,0.436893306,3
B35,KKU156,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,1.769898972,0.247948477,0.247948477,0,3
B35,KKU213,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.398432247,-0.399645519,0.247948477,-0.647593996,3
B35,KKU214,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,1.067400684,0.028327477,0.247948477,-0.219621,3
B35,RBE,Selumetinib,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.124509146,-0.904798746,0.247948477,-1.152747223,3
B35,SSP25,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,0.247948477,0.752051523,3
B35,TFK1,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,0.247948477,0.752051523,3
B35,YSCCC,Selumetinib,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,1.870230401,0.271895112,0.247948477,0.023946635,3
NA,MMNK1,Selumetinib,Targeted drug,Cholangiocyte,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,0.247948477,0.752051523,3
Bmix,HuCCA1,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.012834446,-1.891622873,-0.36592423,-1.525698643,5
Bmix,HuCCT1,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.562906491,-0.249563743,-0.36592423,0.116360486,5
Bmix,HUH28,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.43060173,-0.36592423,-0.36592423,0,5
Bmix,KKKD068,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.36592423,1.36592423,5
Bmix,KKKD131,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.249021419,-0.603763296,-0.36592423,-0.237839067,5
Bmix,KKKD138,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.009765625,-2.010299957,-0.36592423,-1.644375727,5
Bmix,KKU055,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,5.496682461,0.740100649,-0.36592423,1.106024879,5
Bmix,KKU100,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.601191273,-0.220987332,-0.36592423,0.144936897,5
Bmix,KKU156,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.086462262,-1.063173407,-0.36592423,-0.697249177,5
Bmix,KKU213,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.12209112,-0.913315922,-0.36592423,-0.547391693,5
Bmix,KKU214,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.026507434,-1.576632311,-0.36592423,-1.210708082,5
Bmix,RBE,TAK733,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.038808854,-1.411069182,-0.36592423,-1.045144952,5
Bmix,SSP25,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.36592423,1.36592423,5
Bmix,TFK1,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,9.374780252,0.971961097,-0.36592423,1.337885326,5
Bmix,YSCCC,TAK733,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,3.670622523,0.564739725,-0.36592423,0.930663955,5
NA,MMNK1,TAK733,Targeted drug,Cholangiocyte,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.36592423,1.36592423,5
B43,HuCCA1,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.009765625,-2.010299957,-0.406979282,-1.603320675,4
B43,HuCCT1,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.073920134,-1.131237255,-0.406979282,-0.724257973,4
B43,HUH28,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.493913997,-0.306348666,-0.406979282,0.100630616,4
B43,KKKD068,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.400742998,-0.397134057,-0.406979282,0.009845225,4
B43,KKKD131,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.429211812,-0.367328335,-0.406979282,0.039650947,4
B43,KKKD138,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.054284307,-1.265325702,-0.406979282,-0.85834642,4
B43,KKU055,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.406979282,1.406979282,4
B43,KKU100,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.391760566,-0.406979282,-0.406979282,4.62E-10,4
B43,KKU156,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.320329912,-0.494402506,-0.406979282,-0.087423224,4
B43,KKU213,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.127346057,-0.895014497,-0.406979282,-0.488035215,4
B43,KKU214,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.176861268,-0.752367266,-0.406979282,-0.345387984,4
B43,RBE,PD0325901,Targeted drug,CCA Subgroup1,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.07053856,-1.15157341,-0.406979282,-0.744594128,4
B43,SSP25,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.406979282,1.406979282,4
B43,TFK1,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.406979282,1.406979282,4
B43,YSCCC,PD0325901,Targeted drug,CCA Subgroup2,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,0.923660841,-0.034487468,-0.406979282,0.372491814,4
B43,MMNK1,PD0325901,Targeted drug,Cholangiocyte,ERK_MAPK_signaling,ERK_MAPK_signaling_MEK,10,1,-0.406979282,1.406979282,4
B46,HuCCA1,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,1.43672562,0.157373836,0.582285948,-0.424912112,0.5
B46,HuCCT1,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,3.788524333,0.578470081,0.582285948,-0.003815867,0.5
B46,HUH28,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,10,1,0.582285948,0.417714052,0.5
B46,KKKD068,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,8.26447017,0.917215016,0.582285948,0.334929068,0.5
B46,KKKD131,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,8.087225004,0.907799526,0.582285948,0.325513578,0.5
B46,KKKD138,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,2.324460712,0.36632221,0.582285948,-0.215963738,0.5
B46,KKU055,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,4.964509746,0.695876368,0.582285948,0.11359042,0.5
B46,KKU100,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,9.353330993,0.970966303,0.582285948,0.388680355,0.5
B46,KKU156,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,2.407641388,0.3815918,0.582285948,-0.200694148,0.5
B46,KKU213,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,0.844842462,-0.073224267,0.582285948,-0.655510215,0.5
B46,KKU214,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,2.588184544,0.412995239,0.582285948,-0.169290709,0.5
B46,MMNK1,Azacitidine,Targeted drug,Cholangiocyte,Epigenetic,Epigenetic,2.118106563,0.325947806,0.582285948,-0.256338142,0.5
B46,RBE,Azacitidine,Targeted drug,CCA Subgroup1,Epigenetic,Epigenetic,3.37302933,0.528020118,0.582285948,-0.05426583,0.5
B46,SSP-25,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,6.098240268,0.785204531,0.582285948,0.202918583,0.5
B46,TFK-1,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,3.821958335,0.582285948,0.582285948,2.92E-10,0.5
B46,YSCCC,Azacitidine,Targeted drug,CCA Subgroup2,Epigenetic,Epigenetic,10,1,0.582285948,0.417714052,0.5

