ID,Description,Cell,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge_1,leading_edge_2,leading_edge_3,core_enrichment
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Subtype_1.2,130,0.381620564,1.38296262,0.024676851,0.112167503,0.087372582,1364,tags=16%, list=11%, signal=15%,IL1A/IL1B/EREG/GNA15/CAV1/BTG2/ATF3/ANXA1/FDXR/GADD45A/EMP1/IGFBP6/BCL10/CASP1/GPX3/SAT1/BMP2/CDKN1A/ERBB3/GADD45B/GPX1
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,Subtype_1.2,124,0.373344096,1.334526706,0.04176611,0.174025457,0.135556672,1243,tags=19%, list=10%, signal=17%,RRAD/FOS/AQP3/BTG2/ATF3/CDKN2B/JUNB/MAOA/BAK1/CXCL2/SPR/FOSB/FKBP4/GPX3/MMP14/ICAM1/MRPL23/SLC6A8/BMP2/ALDOA/CLTB/EPCAM/MGAT1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Subtype_1.2,69,0.418352317,1.396132324,0.045685279,0.175712612,0.136870877,3323,tags=35%, list=26%, signal=26%,CD9/ATF3/MAL2/ANTXR2/SEMA3B/FASN/FAM129A/SCD/MVD/PPARG/JAG1/LDLR/DHCR7/HMGCS1/MVK/FABP5/ACSS2/GLDC/FDFT1/LGALS3/ALCAM/SQLE/ABCA2/PNRC1
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,Subtype_1.2,77,0.398595641,1.357267621,0.058530511,0.202702703,0.157894737,1577,tags=26%, list=12%, signal=23%,KRT5/SERPINA10/SERPINB2/KRT15/KRT13/BTG2/LFNG/TENM2/ALOX12B/PLAG1/PRODH/FGFR3/MAGIX/ENTPD7/GAMT/AKR1B10/SLC25A23/SLC29A3/CELSR2/KCNE2
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,Subtype_1.2,122,-0.292650499,-1.277846534,0.060810811,0.202702703,0.157894737,1471,tags=23%, list=12%, signal=20%,GABARAPL2/PSEN2/ITGB1/TPM3/DMPK/APP/KCNH1/SORBS3/TSC2/TGFB1/COL3A1/SMTN/RIT1/SVIL/CRAT/TAGLN/PPP1R3C/NQO1/PDE4DIP/ITGB5/MRAS/MAPK12/BIN1/COL4A2/STC2/TPM2/COL6A2
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,Subtype_1.2,52,-0.367673686,-1.393166322,0.075313808,0.235355649,0.183329663,436,tags=21%, list=3%, signal=21%,SMAD3/ACVR1/TGFB1/RAB31/SMAD6/SKIL/ID2/ID3/NOG/PMEPA1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Subtype_1.2,28,0.489955792,1.388763489,0.080601093,0.237062038,0.184658851,2279,tags=32%, list=18%, signal=26%,JAG2/DKK1/MYC/NOTCH1/JAG1/TP53/NUMB/PPARD/PTCH1
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Subtype_1.2,158,0.333743866,1.236362494,0.112643678,0.312899106,0.243731935,1317,tags=16%, list=10%, signal=15%,IGFBP1/HS3ST1/CAV1/FOS/F3/COL5A1/MT2A/ATF3/ZFP36/DDIT4/IRS2/DUSP1/TNFAIP3/VEGFA/ADM/PRDX5/AKAP12/TES/CYR61/PDGFB/ALDOA/BHLHE40/CDKN1A/CSRP2/NEDD4L/PPP1R15A
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Subtype_1.2,23,-0.413716838,-1.297935408,0.14527027,0.382290185,0.297783934,1241,tags=35%, list=10%, signal=31%,COL3A1/NRP1/TIMP1/ITGAV/S100A4/COL5A2/FSTL1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Subtype_1.2,192,0.307771249,1.16619371,0.18161435,0.454035874,0.35367005,2462,tags=22%, list=19%, signal=18%,SLC7A5/BTG2/CD9/FDXR/PHGDH/DDIT4/ITGB2/GOT1/TES/EGLN3/FAM129A/SHMT2/SCD/ALDOA/BHLHE40/FKBP2/ACSL3/CDKN1A/RRP9/DAPP1/PSPH/LDLR/DHCR7/PPP1R15A/MTHFD2L/SKAP2/MCM4/SORD/USO1/HMGCS1/HPRT1/ATP2A2/CACYBP/SERPINH1/PPIA/HK2/MCM2/ARPC5L/UNG/INSIG1/PSMC2/STC1/SLC1A4
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,Subtype_1.2,121,-0.261147057,-1.144807056,0.193548387,0.460829493,0.358961921,1526,tags=21%, list=12%, signal=19%,SMAD3/MTA1/PTPN21/SDC2/ATXN1/PTPRM/INPP4B/CITED2/AKT3/ATRX/PIAS3/NEK7/COL3A1/ADORA2B/TFPI/NRP1/FYN/TGFBR3/PRKCA/GJA1/PRKAR2B/MAP1B/COL5A2/PMP22/EFEMP1
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Subtype_1.2,137,-0.244321128,-1.098819847,0.236486486,0.537469287,0.418660287,2396,tags=30%, list=19%, signal=25%,RABIF/XPNPEP1/CTSC/LYN/GNAI3/PSEN1/FDX1/USP16/CDK5R1/PFN1/CFH/C1R/CASP7/CD55/DYRK2/MAFF/CASP4/CASP9/F10/CTSS/CALM3/PLA2G4A/DPP4/ANXA5/FYN/DOCK10/TFPI2/TMPRSS6/SPOCK2/TIMP1/F2/CTSO/CTSL/C1S/C3/ZEB1/CASP3/GNB4/COL4A2/FN1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Subtype_1.2,108,0.323210395,1.141614881,0.255648038,0.555756604,0.432905145,3114,tags=28%, list=24%, signal=21%,IGFBP1/SLC7A5/ATF3/DDIT4/EIF2S1/VEGFA/DNAJA4/EEF2/LSM4/NOLC1/RPS14/KHSRP/IARS/RRP9/EIF4A2/ZBTB17/EDC4/BAG3/EXOSC1/PARN/ALDH18A1/SLC1A4/LSM1/XPOT/TARS/HSPA9/CNOT6/ATP6V0D1/TSPYL2/NOP14
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Subtype_1.2,144,0.302884395,1.111971396,0.28125,0.584725537,0.455470418,2336,tags=25%, list=18%, signal=21%,PTPN6/IFIT2/IL4R/MT2A/KLRK1/UPP1/MVP/TNFAIP3/IFIT3/TNFAIP2/CASP1/IFIH1/ICAM1/PTGS2/OAS3/IL15RA/FCGR1A/PSMA2/VAMP8/CDKN1A/HERC6/PSMB10/ST3GAL5/PELI1/CD274/SOCS3/IRF1/IFI35/LAP3/STAT2/TRIM25/IRF7/TRIM14/TRIM21/JAK2/ISOC1
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Subtype_1.2,94,0.321057835,1.118933724,0.292362768,0.584725537,0.455470418,887,tags=15%, list=7%, signal=14%,IL1B/EREG/PTPN6/IL4R/CDKN2A/IL16/ITGB2/BCL10/IL11/ICAM1/AARS/INHBB/RPL9/RPL39
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Subtype_1.2,171,0.287361135,1.077779599,0.317873303,0.597102175,0.465111168,3054,tags=28%, list=24%, signal=22%,COL5A1/GPR87/ELF3/TGFA/PKP2/DDIT4/IRS2/MERTK/LHPP/VEGFA/CLDN3/GOT1/FKBP4/ME2/SDC1/DSC2/EGLN3/CYB5A/MET/AK3/ALDOA/B4GALT7/NT5E/COG2/CHPF/TXN/RARS/PC/NDUFV3/PPIA/HK2/AGRN/DEPDC1/AGL/GNPDA1/STC1/PHKA2/MED24/SOX9/GOT2/ANGPTL4/EGFR/PGM2/ALDH7A1/HOMER1/HAX1/BIK/GALE
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Subtype_1.2,196,0.282783248,1.070660397,0.322435175,0.597102175,0.465111168,5224,tags=49%, list=41%, signal=30%,CDKN2A/HMGA1/EIF2S1/MYC/DLGAP5/DCTPP1/BRMS1L/MYBL2/NOLC1/PTTG1/CDKN1A/TP53/POLD1/RACGAP1/ANP32E/EXOSC8/MCM4/TBRG4/NCAPD2/DEK/SMC3/CDKN3/MCM2/PPP1R8/DEPDC1/ILF3/CKS2/SPC24/PMS2/UNG/NAP1L1/PA2G4/TRIP13/WEE1/MCM3/CDCA3/SMC6/BUB1B/PLK1/MCM7/PRKDC/CDC25A/HMGB3/POLD2/TIPIN/KIF18B/LIG1/GINS3/HELLS/KIF22/RANBP1/DNMT1/NUP153/CKS1B/POLD3/CDKN1B/CCP110/PRDX4/NOP56/SMC4/ING3/DIAPH3/HUS1/LYAR/NUDT21/MSH2/AK2/LMNB1/CTCF/POP7/LSM8/EED/EZH2/PNN/RNASEH2A/LBR/SNRPB/DSCC1/CDC25B/CIT/SPAG5/MCM6/BIRC5/E2F8/MKI67/SHMT1/ASF1B/PRIM2/DUT/POLE/CENPM/HNRNPD/MCM5/SRSF2/RPA2/TMPO/BRCA2
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,Subtype_1.2,128,0.296350729,1.071652873,0.350117096,0.611232845,0.476118216,2150,tags=20%, list=17%, signal=16%,ALDH3A1/REEP6/G0S2/MAOA/LTC4S/GLUL/SDHA/HSPH1/FASN/SUCLG1/UROS/CCDC58/ALDOA/HADH/AUH/GCDH/HSDL2/PDHA1/TP53INP2/HMGCS1/ALDH3A2/DLST/APEX1/BLVRA/MLYCD
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,Subtype_1.2,22,-0.341530768,-1.066807714,0.35451505,0.611232845,0.476118216,1954,tags=36%, list=15%, signal=31%,RASA1/TLE3/CRMP1/NRP1/L1CAM/DPYSL2/UNC5C
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Subtype_1.2,158,0.281765188,1.043806183,0.397701149,0.662835249,0.516313773,3246,tags=30%, list=26%, signal=22%,AQP3/TSPO2/BTG2/ANK1/FBXO34/ABCG2/RBM38/RIOK3/UROS/UBAC1/DMTN/KLF3/SLC6A8/BMP2K/SLC6A9/RCL1/PRDX2/CAT/SPTB/BCAM/PC/ALAS2/SLC25A38/IGSF3/NUDT4/CROCCP2/ATP6V0A1/BLVRB/GLRX5/BLVRA/CTNS/RAD23A/ACP5/TOP1/RNF19A/XK/RAP1GAP/PICALM/FOXO3/HDGF/ARL2BP/CDR2/MAP2K3/HTATIP2/CIR1/EIF2AK1/MBOAT2
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,Subtype_1.2,70,-0.238273071,-0.975440488,0.502325581,0.793450882,0.618056476,3405,tags=46%, list=27%, signal=34%,PEX1/PEX13/BCAR3/PEX12/IDH2/HSD17B4/PEX11A/HSD17B11/PEX7/ABCA5/ACSL1/GNPAT/IDH1/AMACR/PECR/GCLM/DIO2/ABCA1/FADS2/NEDD4/DIO1/ABCA4/BMP6/PNPLA8/ATXN1/NUDT12/SLC35B2/SOD1/SLCO1A2/OPTN/SLC27A5
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Subtype_1.2,82,0.286147786,0.981928237,0.510353228,0.793450882,0.618056476,1730,tags=22%, list=14%, signal=19%,F3/SERPINB2/PLAU/CD9/ANXA1/F12/SERPINA1/THBD/MMP14/PDGFB/GDA/PROZ/THBS1/ISCU/DUSP6/CTSH/RAPGEF3/KLF7
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,Subtype_1.2,50,0.307825291,0.968259061,0.527202073,0.793450882,0.618056476,3027,tags=34%, list=24%, signal=26%,IL1B/IL4R/CD9/LTBR/BAK1/IL17RB/IL15RA/PDGFC/SOCS3/IRF1/STAT2/FAS/PIM1/PTPN2/HAX1/CXCL1/INHBE
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,Subtype_1.2,136,0.266441006,0.970700227,0.544496487,0.793450882,0.618056476,2649,tags=28%, list=21%, signal=22%,IGFBP1/ALDH3A1/CDA/MT2A/UPP1/EPHA2/MAOA/LCAT/ALDH2/VTN/ETS2/SHMT2/CYB5A/MAN1A1/ABHD6/ACP2/COMT/PSMB10/ABCC2/CAT/SLC46A3/PC/AOX1/ASL/LONP1/DHRS7/HPRT1/ATP2A2/BLVRB/PPARD/ARG1/BCAR1/NDRG2/KARS/XDH/CROT/RAP1GAP/FAS
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Subtype_1.2,173,0.255826162,0.96080107,0.568848758,0.793450882,0.618056476,2837,tags=24%, list=22%, signal=19%,SNCG/REEP6/HSPB8/GPHN/GADD45A/LTC4S/GPX3/STOM/DHRS7B/ALDH2/PEX14/RIOK3/SUCLG1/MARC2/ANGPT1/ALDOA/PPARG/HADH/NDUFS3/DHCR7/ESRRA/UBQLN1/CAT/COX6A1/ETFB/ITGA7/TOB1/PQLC3/DHRS7/PLIN2/SOWAHC/TKT/STAT5A/COX7B/GPD2/BAZ2A/UQCRC1/ANGPTL4/UBC/SCARB1/CYC1
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Subtype_1.2,142,0.256820051,0.942438429,0.601162791,0.793450882,0.618056476,3801,tags=27%, list=30%, signal=19%,CDA/SURF1/DGUOK/VPS37B/AK3/ADRM1/TP53/POLD4/POLD1/BOLA2/ERCC5/GTF2H3/BCAM/POLR1C/SAC3D1/IMPDH2/HPRT1/RFC4/POLR2J/TARBP2/DAD1/ZNF707/AK1/BCAP31/APRT/ALYREF/RALA/POLR2G/MPG/LIG1/RAD51/DCTN4/ERCC1/SNAPC5/NCBP2/ARL6IP1/POLD3/SRSF6
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Subtype_1.2,189,0.248340003,0.939360711,0.612175874,0.793450882,0.618056476,5349,tags=47%, list=42%, signal=28%,SLC7A5/MT2A/HMGA1/MYC/GINS2/TROAP/UCK2/MYBL2/RASAL2/NOLC1/ORC5/PTTG1/MEIS2/NUSAP1/RACGAP1/MNAT1/G3BP1/NUMA1/RPS6KA5/TNPO2/CDKN3/EFNA5/MCM2/ILF3/SMARCC1/CKS2/ODC1/E2F4/TOP1/SLC7A1/CCND1/DTYMK/CUL4A/MCM3/CHMP1A/PLK1/MTF2/CDC25A/HMGB3/UPF1/SQLE/PURA/RAD23B/HIST1H2BK/FBXO5/KIF22/H2AFV/CHAF1A/CKS1B/CDKN1B/SNRPD1/NCL/FOXN3/AMD1/PRMT5/SMC4/SFPQ/HUS1/LMNB1/CTCF/EZH2/LBR/KIF15/CASP8AP2/CDC25B/KIF20B/MCM6/BIRC5/RBM14/TPX2/MKI67/PRIM2/HNRNPU/POLE/ARID4A/HNRNPD/NDC80/MCM5/KIF11/SRSF2/RPA2/TMPO/BRCA2/MAPK14/SMC2/CDC7/HIF1A/HMMR/FANCC
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,Subtype_1.2,44,0.290126893,0.891332306,0.619363395,0.793450882,0.618056476,1455,tags=20%, list=11%, signal=18%,JUNB/GPX3/CDKN2D/MBP/PDLIM1/HHEX/PRDX2/TXN/CAT
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,Subtype_1.2,29,0.316083074,0.901805322,0.62704918,0.793450882,0.618056476,2805,tags=38%, list=22%, signal=30%,DTX1/LFNG/HES1/NOTCH1/JAG1/DTX2/PPARD/APH1A/DTX4/CCND1/MAML2
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Subtype_1.2,75,0.267329871,0.905701751,0.634760705,0.793450882,0.618056476,2286,tags=24%, list=18%, signal=20%,IFIT2/IL4R/IFIT3/CASP1/IFIH1/SAMD9/HERC6/TRIM5/IRF1/IFI35/LAP3/MVB12A/STAT2/NCOA7/TRIM25/IRF7/TRIM14/TRIM21
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Subtype_1.2,133,0.250015398,0.909145154,0.655775963,0.799726784,0.622945074,2396,tags=23%, list=19%, signal=19%,IRF6/IL4R/SCN9A/EMP1/MYC/MXD1/ITGA6/BMP2/UCK2/BHLHE40/RNH1/MAP6/SPP1/PUS1/AKAP2/DHRS3/GADD45B/NT5E/CDCP1/PHLDA1/PRKCH/BCL2L1/HK2/PLIN2/SYNGR2/PTRH2/PTCH1/ODC1/TIAM1/PLEC
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,Subtype_1.2,27,-0.248332896,-0.809358308,0.749090909,0.891774892,0.694645705,1430,tags=33%, list=11%, signal=30%,DCBLD2/LYN/B4GALT1/AFAP1L2/APP/LYPD3/SULF2/GSTM3
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Subtype_1.2,66,-0.200453747,-0.804637577,0.846153846,0.96318709,0.750272049,1229,tags=14%, list=10%, signal=12%,GAD1/TSSK2/MAST2/IL12RB2/SLC12A2/CLVS1/CLGN/GSTM3
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Subtype_1.2,89,0.224625005,0.77536141,0.863361548,0.96318709,0.750272049,2574,tags=25%, list=20%, signal=20%,MERTK/TNFAIP8/SAT1/AKAP12/SCD/ADRM1/ACSL3/KRT19/ZMIZ1/ABCC4/SORD/GPD1L/HMGCS1/CDC14B/RRP12/SLC38A2/ALDH1A3/INSIG1/KRT8/PA2G4/CCND1/CDK6
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,Subtype_1.2,15,0.281271322,0.69323217,0.866868381,0.96318709,0.750272049,3382,tags=40%, list=27%, signal=29%,CHGA/FOXO1/VDR/STXBP1/SPCS1/PAX6
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Subtype_1.2,195,0.209448004,0.79420712,0.896860987,0.974848898,0.759355984,4019,tags=27%, list=32%, signal=19%,FSCN1/STK38L/FARP1/DLGAP5/ARL8A/KATNB1/RASAL2/NUSAP1/CEP72/DLG1/RACGAP1/RAPGEF5/CTTN/PIF1/NUMA1/SAC3D1/NET1/SMC3/WASL/WASF1/TUBGCP3/DST/CEP57/BCAR1/TIAM1/ARF6/ARAP3/DOCK4/RHOF/PLK1/LRPPRC/CLIP2/CCDC88A/HDAC6/RALBP1/RHOT2/FBXO5/CEP131/KIF22/MID1IP1/CNTROB/NF1/LATS1/MAP3K11/FLNA/TUBA4A/MAP1S/ARFIP2/CDC42EP1/SASS6/SMC4/KIF3B/CEP192
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Subtype_1.2,85,0.192258712,0.657948235,0.974106042,0.994444444,0.774619883,2821,tags=20%, list=22%, signal=16%,MVP/BCL10/PRDX5/PEX14/SLC27A2/HRAS/ABCB9/DHRS3/CAT/ITGB1BP1/MLYCD/SMARCC1/ISOC1/STS/VPS4B/SLC25A19/ECI2
