,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
769-P,run_769_P.1,769-P,http://www.ebi.ac.uk/efo/EFO_0002099,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,769-P,http://www.ebi.ac.uk/efo/EFO_0002099,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Yes,other
786-O,run_786_O.2,786-O,http://www.ebi.ac.uk/efo/EFO_0005707,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,786-O,http://www.ebi.ac.uk/efo/EFO_0005707,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Yes,other
8-MG-BA,run_8_MG_BA.5,8-MG-BA,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,8-MG-BA,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
8305C,run_8305C.1,8305C,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,8305C,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Yes,other
8505C,run_8505C.1,8505C,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,8505C,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Yes,other
A-204,run_A_204.2,A-204,http://www.ebi.ac.uk/efo/EFO_0002102,embryonal rhabdomyosarcoma,http://www.ebi.ac.uk/efo/EFO_0000437,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-204,http://www.ebi.ac.uk/efo/EFO_0002102,embryonal rhabdomyosarcoma,http://www.ebi.ac.uk/efo/EFO_0000437,Yes,other
A-253,run_A_253.1,A-253,NA,salivary gland squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001967,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-253,NA,salivary gland squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001967,Yes,other
A-375,run_A_375.5,A-375,http://www.ebi.ac.uk/efo/EFO_0002103,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-375,http://www.ebi.ac.uk/efo/EFO_0002103,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Yes,other
A-498,run_A_498.1,A-498,http://www.ebi.ac.uk/efo/EFO_0002105,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-498,http://www.ebi.ac.uk/efo/EFO_0002105,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Yes,other
A-673,run_A_673.2,A-673,http://www.ebi.ac.uk/efo/EFO_0002106,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-673,http://www.ebi.ac.uk/efo/EFO_0002106,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
A-704,run_A_704.1,A-704,NA,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A-704,NA,renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000681,Yes,other
A101D,run_A101D.1,A101D,http://www.ebi.ac.uk/efo/EFO_0002100,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A101D,http://www.ebi.ac.uk/efo/EFO_0002100,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
A172,run_A172.2,A172,http://www.ebi.ac.uk/efo/EFO_0002101,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A172,http://www.ebi.ac.uk/efo/EFO_0002101,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
A2058,run_A2058.2,A2058,http://www.ebi.ac.uk/efo/EFO_0006361,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A2058,http://www.ebi.ac.uk/efo/EFO_0006361,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Yes,other
A2780,run_A2780.5,A2780,http://www.ebi.ac.uk/efo/EFO_0006362,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A2780,http://www.ebi.ac.uk/efo/EFO_0006362,ovarian endometrioid adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000416,Yes,other
A3/KAW,run_A3_KAW.1,A3/KAW,http://www.ebi.ac.uk/efo/EFO_0006532,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A3/KAW,http://www.ebi.ac.uk/efo/EFO_0006532,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
A4/Fuk,run_A4_Fuk.1,A4/Fuk,http://www.ebi.ac.uk/efo/EFO_0006533,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A4/Fuk,http://www.ebi.ac.uk/efo/EFO_0006533,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,Yes,other
A549,run_A549.2,A549,http://www.ebi.ac.uk/efo/EFO_0001086,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,A549,http://www.ebi.ac.uk/efo/EFO_0001086,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
ABC-1,run_ABC_1.5,ABC-1,http://www.ebi.ac.uk/efo/EFO_0002813,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ABC-1,http://www.ebi.ac.uk/efo/EFO_0002813,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
ACC-MESO-1,run_ACC_MESO_1.1,ACC-MESO-1,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ACC-MESO-1,NA,mesothelioma,http://www.ebi.ac.uk/efo/EFO_0000588,Yes,other
ACHN,run_ACHN.2,ACHN,http://www.ebi.ac.uk/efo/EFO_0002108,papillary renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000640,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ACHN,http://www.ebi.ac.uk/efo/EFO_0002108,papillary renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000640,Yes,other
AGS,run_AGS.2,AGS,http://www.ebi.ac.uk/efo/EFO_0002109,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AGS,http://www.ebi.ac.uk/efo/EFO_0002109,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
ALL-SIL,run_ALL_SIL.1,ALL-SIL,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ALL-SIL,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
AM-38,run_AM_38.2,AM-38,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AM-38,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
AML-193,run_AML_193.2,AML-193,NA,childhood acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000330,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AML-193,NA,childhood acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000330,Yes,other
AMO-1,run_AMO_1.1,AMO-1,http://www.ebi.ac.uk/efo/EFO_0006534,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AMO-1,http://www.ebi.ac.uk/efo/EFO_0006534,multiple myeloma,http://www.ebi.ac.uk/efo/EFO_0001378,Yes,other
AN3 CA,run_AN3_CA.1,AN3 CA,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AN3 CA,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
AU565,run_AU565.1,AU565,http://www.ebi.ac.uk/efo/EFO_0001087,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AU565,http://www.ebi.ac.uk/efo/EFO_0001087,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
AsPC-1,run_AsPC_1.2,AsPC-1,http://www.ebi.ac.uk/efo/EFO_0002112,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,AsPC-1,http://www.ebi.ac.uk/efo/EFO_0002112,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
B-CPAP,run_B_CPAP.1,B-CPAP,NA,papillary thyroid carcinoma,http://www.ebi.ac.uk/efo/EFO_0000641,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,B-CPAP,NA,papillary thyroid carcinoma,http://www.ebi.ac.uk/efo/EFO_0000641,Yes,other
BC-3C,run_BC_3C.1,BC-3C,NA,bladder transitional cell carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BC-3C,NA,bladder transitional cell carcinoma,NA,Yes,other
BCP-1,run_BCP_1.1,BCP-1,NA,primary effusion lymphoma,http://www.ebi.ac.uk/efo/EFO_1000491,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BCP-1,NA,primary effusion lymphoma,http://www.ebi.ac.uk/efo/EFO_1000491,Yes,other
BDCM,run_BDCM.5,BDCM,http://www.ebi.ac.uk/efo/EFO_0002113,acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000222,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BDCM,http://www.ebi.ac.uk/efo/EFO_0002113,acute myeloid leukemia,http://www.ebi.ac.uk/efo/EFO_0000222,Yes,other
BEN,run_BEN.1,BEN,http://www.ebi.ac.uk/efo/EFO_0006537,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BEN,http://www.ebi.ac.uk/efo/EFO_0006537,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
BFTC-905,run_BFTC_905.1,BFTC-905,http://www.ebi.ac.uk/efo/EFO_0002115,bladder transitional cell carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BFTC-905,http://www.ebi.ac.uk/efo/EFO_0002115,bladder transitional cell carcinoma,NA,Yes,other
BFTC-909,run_BFTC_909.1,BFTC-909,http://www.ebi.ac.uk/efo/EFO_0002115,transitional cell carcinoma of kidney,http://www.ebi.ac.uk/efo/EFO_0003017,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BFTC-909,http://www.ebi.ac.uk/efo/EFO_0002115,transitional cell carcinoma of kidney,http://www.ebi.ac.uk/efo/EFO_0003017,Yes,other
BHT-101,run_BHT_101.1,BHT-101,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BHT-101,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Yes,other
BHY,run_BHY.1,BHY,http://www.ebi.ac.uk/efo/EFO_0006539,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BHY,http://www.ebi.ac.uk/efo/EFO_0006539,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Yes,other
BICR 16,run_BICR_16.1,BICR 16,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 16,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
BICR 18,run_BICR_18.3,BICR 18,NA,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 18,NA,oral squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000199,Yes,other
BICR 22,run_BICR_22.1,BICR 22,http://www.ebi.ac.uk/efo/EFO_0006541,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 22,http://www.ebi.ac.uk/efo/EFO_0006541,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
BICR 31,run_BICR_31.1,BICR 31,http://www.ebi.ac.uk/efo/EFO_0006542,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 31,http://www.ebi.ac.uk/efo/EFO_0006542,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
BICR 56,run_BICR_56.1,BICR 56,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 56,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
BICR 6,run_BICR_6.1,BICR 6,NA,hypopharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001960,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BICR 6,NA,hypopharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001960,Yes,other
BL-41,run_BL_41.1,BL-41,NA,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BL-41,NA,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
BL-70,run_BL_70.1,BL-70,NA,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BL-70,NA,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
BT-20,run_BT_20.2,BT-20,http://www.ebi.ac.uk/efo/EFO_0001092,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BT-20,http://www.ebi.ac.uk/efo/EFO_0001092,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,breast
BT-474,run_BT_474.2,BT-474,http://www.ebi.ac.uk/efo/EFO_0001093,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BT-474,http://www.ebi.ac.uk/efo/EFO_0001093,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,breast
BT-483,run_BT_483.1,BT-483,http://www.ebi.ac.uk/efo/EFO_0001095,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BT-483,http://www.ebi.ac.uk/efo/EFO_0001095,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,breast
BT-549,run_BT_549.1,BT-549,http://www.ebi.ac.uk/efo/EFO_0001096,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BT-549,http://www.ebi.ac.uk/efo/EFO_0001096,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,breast
BV-173,run_BV_173.1,BV-173,http://www.ebi.ac.uk/efo/EFO_0002118,chronic myelogenous leukemia,http://www.ebi.ac.uk/efo/EFO_0000339,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BV-173,http://www.ebi.ac.uk/efo/EFO_0002118,chronic myelogenous leukemia,http://www.ebi.ac.uk/efo/EFO_0000339,Yes,other
BxPC-3,run_BxPC_3.2,BxPC-3,http://www.ebi.ac.uk/efo/EFO_0002709,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,BxPC-3,http://www.ebi.ac.uk/efo/EFO_0002709,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
C2BBe1,run_C2BBe1.2,C2BBe1,http://www.ebi.ac.uk/efo/EFO_0006546,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,C2BBe1,http://www.ebi.ac.uk/efo/EFO_0006546,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
C32,run_C32.2,C32,http://www.ebi.ac.uk/efo/EFO_0006364,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,C32,http://www.ebi.ac.uk/efo/EFO_0006364,amelanotic melanoma,http://www.ebi.ac.uk/efo/EFO_1001937,Yes,other
CA46,run_CA46.1,CA46,http://www.ebi.ac.uk/efo/EFO_0002124,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CA46,http://www.ebi.ac.uk/efo/EFO_0002124,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
CADO-ES1,run_CADO_ES1.1,CADO-ES1,http://www.ebi.ac.uk/efo/EFO_0002818,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CADO-ES1,http://www.ebi.ac.uk/efo/EFO_0002818,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
CAL 27,run_CAL_27.2,CAL 27,http://www.ebi.ac.uk/efo/EFO_0006366,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL 27,http://www.ebi.ac.uk/efo/EFO_0006366,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
CAL-120,run_CAL_120.2,CAL-120,http://www.ebi.ac.uk/efo/EFO_0005356,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-120,http://www.ebi.ac.uk/efo/EFO_0005356,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
CAL-12T,run_CAL_12T.1,CAL-12T,http://www.ebi.ac.uk/efo/EFO_0006547,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-12T,http://www.ebi.ac.uk/efo/EFO_0006547,non-small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003060,Yes,other
CAL-148,run_CAL_148.1,CAL-148,http://www.ebi.ac.uk/efo/EFO_0005357,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-148,http://www.ebi.ac.uk/efo/EFO_0005357,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
CAL-29,run_CAL_29.1,CAL-29,NA,bladder transitional cell carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-29,NA,bladder transitional cell carcinoma,NA,Yes,other
CAL-33,run_CAL_33.1,CAL-33,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-33,NA,tongue squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000055,Yes,other
CAL-51,run_CAL_51.2,CAL-51,http://www.ebi.ac.uk/efo/EFO_0005358,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-51,http://www.ebi.ac.uk/efo/EFO_0005358,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
CAL-54,run_CAL_54.1,CAL-54,http://www.ebi.ac.uk/efo/EFO_0002125,renal cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-54,http://www.ebi.ac.uk/efo/EFO_0002125,renal cell adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005708,Yes,other
CAL-62,run_CAL_62.5,CAL-62,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-62,NA,thyroid gland undifferentiated (anaplastic) carcinoma,http://www.ebi.ac.uk/efo/EFO_1000595,Yes,other
CAL-78,run_CAL_78.1,CAL-78,NA,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-78,NA,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Yes,other
CAL-85-1,run_CAL_85_1.1,CAL-85-1,http://www.ebi.ac.uk/efo/EFO_0005359,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAL-85-1,http://www.ebi.ac.uk/efo/EFO_0005359,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
CAMA-1,run_CAMA_1.1,CAMA-1,http://www.ebi.ac.uk/efo/EFO_0001100,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAMA-1,http://www.ebi.ac.uk/efo/EFO_0001100,breast adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000304,Yes,breast
