Cell,Drug,norm.GR50,Class.KDE,SubMedianGR50,Class.MD,CCA.Subgroup,Organ.Subgroup
YSCCC,AZD8055,-0.250286138728065,Sensitive,0,Resistant,Subgroup 2,pancreas-like
HuCCA-1,BAY11-7082,-1.0388128400511,Sensitive,-0.528703168,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,BAY11-7082,-0.00622818573362251,Sensitive,-0.030524391,Sensitive,Subgroup 2,pancreas-like
HuH-28,BAY11-7082,-1.81394488798283,Sensitive,-0.902671863,Sensitive,Subgroup 2,liver-like
KKK-D068,BAY11-7082,0.331221251750813,Resistant,0.132280806,Resistant,Subgroup 2,liver-like
KKK-D131,BAY11-7082,0.897560750029128,Resistant,0.405515855,Resistant,Subgroup 2,pancreas-like
KKK-D138,BAY11-7082,0.699979510912138,Resistant,0.310191196,Resistant,Subgroup 1,liver-like
KKU-055,BAY11-7082,-2.12118749805061,Sensitive,-1.050903533,Sensitive,Subgroup 2,liver-like
KKU-100,BAY11-7082,-0.468966821348781,Sensitive,-0.25377637,Sensitive,Subgroup 2,liver-like
KKU-156,BAY11-7082,-0.104419210154188,Sensitive,-0.077897441,Sensitive,Subgroup 1,pancreas-like
KKU-213,BAY11-7082,0.882352517880769,Resistant,0.398178521,Resistant,Subgroup 1,pancreas-like
KKU-214,BAY11-7082,0.939431200884401,Resistant,0.425716591,Resistant,Subgroup 1,pancreas-like
RBE,BAY11-7082,-0.0474537204120118,Sensitive,-0.050413982,Sensitive,Subgroup 1,liver-like
SSP-25,BAY11-7082,1.22844828640874,Resistant,0.56515521,Resistant,Subgroup 2,liver-like
TFK-1,BAY11-7082,0.564979344093551,Resistant,0.245059279,Resistant,Subgroup 2,pancreas-like
YSCCC,BAY11-7082,0.0570403017735974,Sensitive,0,Resistant,Subgroup 2,pancreas-like
HuCCA-1,BEZ-235,1.49538406662356,Resistant,0.579119013,Resistant,Subgroup 1,pancreas-like
HuCCT-1,BEZ-235,-0.511110004128811,Sensitive,-0.289751079,Sensitive,Subgroup 2,pancreas-like
HuH-28,BEZ-235,1.66756376009772,Resistant,0.653677811,Resistant,Subgroup 2,liver-like
KKK-D068,BEZ-235,0.158016286856012,Resistant,0,Resistant,Subgroup 2,liver-like
KKK-D131,BEZ-235,-1.36270379644478,Sensitive,-0.658515875,Sensitive,Subgroup 2,pancreas-like
KKK-D138,BEZ-235,-0.762482705792153,Sensitive,-0.398602745,Sensitive,Subgroup 1,liver-like
KKU-055,BEZ-235,0.255781788499664,Resistant,0.042335296,Resistant,Subgroup 2,liver-like
KKU-100,BEZ-235,-1.36270379644478,Sensitive,-0.658515875,Sensitive,Subgroup 2,liver-like
KKU-156,BEZ-235,-0.497313221005377,Sensitive,-0.283776672,Sensitive,Subgroup 1,pancreas-like
KKU-213,BEZ-235,1.04558622977464,Resistant,0.384343512,Resistant,Subgroup 1,pancreas-like
KKU-214,BEZ-235,0.702133918364204,Resistant,0.235618706,Resistant,Subgroup 1,pancreas-like
RBE,BEZ-235,0.557299486742555,Resistant,0.172901199,Resistant,Subgroup 1,liver-like
SSP-25,BEZ-235,0.397747758560064,Resistant,0.103810676,Resistant,Subgroup 2,liver-like
TFK-1,BEZ-235,-0.420495975257725,Sensitive,-0.250512578,Sensitive,Subgroup 2,pancreas-like
YSCCC,BEZ-235,-1.36270379644478,Sensitive,-0.658515875,Sensitive,Subgroup 2,pancreas-like
HuCCA-1,BGJ398-Nov,0.146426353081902,Resistant,-0.031590573,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,BGJ398-Nov,0.258489507590023,Resistant,0.05597345,Resistant,Subgroup 2,pancreas-like
HuH-28,BGJ398-Nov,-3.09655630383996,Sensitive,-2.565595699,Sensitive,Subgroup 2,liver-like
KKK-D068,BGJ398-Nov,0.19296197993131,Resistant,0.004771483,Resistant,Subgroup 2,liver-like
KKK-D131,BGJ398-Nov,0.531355374618244,Resistant,0.269185662,Resistant,Subgroup 2,pancreas-like
KKK-D138,BGJ398-Nov,-1.31269134808854,Sensitive,-1.171717464,Sensitive,Subgroup 1,liver-like
KKU-055,BGJ398-Nov,-0.172394303812148,Sensitive,-0.280710986,Sensitive,Subgroup 2,liver-like
KKU-100,BGJ398-Nov,0.755981502526201,Resistant,0.444704257,Resistant,Subgroup 2,liver-like
KKU-156,BGJ398-Nov,0.186855505852773,Resistant,0,Resistant,Subgroup 1,pancreas-like
KKU-213,BGJ398-Nov,0.0646307314643002,Sensitive,-0.09550412,Sensitive,Subgroup 1,pancreas-like
KKU-214,BGJ398-Nov,0.0953297772626302,Resistant,-0.071516468,Sensitive,Subgroup 1,pancreas-like
RBE,BGJ398-Nov,0.680643780207039,Resistant,0.38583679,Resistant,Subgroup 1,liver-like
SSP-25,BGJ398-Nov,0.15700443815383,Resistant,-0.023325058,Sensitive,Subgroup 2,liver-like
TFK-1,BGJ398-Nov,0.755981502526201,Resistant,0.444704257,Resistant,Subgroup 2,pancreas-like
YSCCC,BGJ398-Nov,0.755981502526201,Resistant,0.444704257,Resistant,Subgroup 2,pancreas-like
HuCCA-1,BGJ398-NVP,0.776884795560153,Resistant,0.228693282,Resistant,Subgroup 1,pancreas-like
HuCCT-1,BGJ398-NVP,0.262390554583012,Resistant,0.026339429,Resistant,Subgroup 2,pancreas-like
HuH-28,BGJ398-NVP,-0.896112339615006,Sensitive,-0.429307118,Sensitive,Subgroup 2,liver-like
KKK-D068,BGJ398-NVP,-0.245672681688295,Sensitive,-0.173485069,Sensitive,Subgroup 2,liver-like
KKK-D131,BGJ398-NVP,0.912515907898577,Resistant,0.28203786,Resistant,Subgroup 2,pancreas-like
KKK-D138,BGJ398-NVP,-1.95925155657421,Sensitive,-0.847446525,Sensitive,Subgroup 1,liver-like
KKU-055,BGJ398-NVP,-2.27675609569994,Sensitive,-0.972323077,Sensitive,Subgroup 2,liver-like
KKU-100,BGJ398-NVP,-0.0679885668507549,Sensitive,-0.103600778,Sensitive,Subgroup 2,liver-like
KKU-156,BGJ398-NVP,0.0564227190635241,Sensitive,-0.054669029,Sensitive,Subgroup 1,pancreas-like
KKU-213,BGJ398-NVP,0.195421310705425,Resistant,0,Resistant,Subgroup 1,pancreas-like
KKU-214,BGJ398-NVP,0.0931459017166261,Resistant,-0.040225568,Sensitive,Subgroup 1,pancreas-like
RBE,BGJ398-NVP,0.741891663786441,Resistant,0.214930261,Resistant,Subgroup 1,liver-like
SSP-25,BGJ398-NVP,0.582076571317293,Resistant,0.15207397,Resistant,Subgroup 2,liver-like
TFK-1,BGJ398-NVP,0.912515907898577,Resistant,0.28203786,Resistant,Subgroup 2,pancreas-like
YSCCC,BGJ398-NVP,0.912515907898577,Resistant,0.28203786,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 1,pancreas-like
HuCCT-1,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 2,pancreas-like
HuH-28,Birinapant,0.537590255359035,Resistant,0,Resistant,Subgroup 2,liver-like
KKK-D068,Birinapant,-2.5392708747233,Sensitive,-2.884155747,Sensitive,Subgroup 2,liver-like
KKK-D131,Birinapant,0.372724849861376,Sensitive,-0.154539801,Sensitive,Subgroup 2,pancreas-like
KKK-D138,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 1,liver-like
KKU-055,Birinapant,0.440377045399251,Sensitive,-0.091124697,Sensitive,Subgroup 2,liver-like
KKU-100,Birinapant,-0.755243636160941,Sensitive,-1.211863045,Sensitive,Subgroup 2,liver-like
KKU-156,Birinapant,-1.09745704353914,Sensitive,-1.532643452,Sensitive,Subgroup 1,pancreas-like
KKU-213,Birinapant,-1.38356590454063,Sensitive,-1.800833169,Sensitive,Subgroup 1,pancreas-like
KKU-214,Birinapant,-0.280294377676316,Sensitive,-0.766660101,Sensitive,Subgroup 1,pancreas-like
RBE,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 1,liver-like
SSP-25,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 2,liver-like
TFK-1,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 2,pancreas-like
YSCCC,Birinapant,0.672162812288667,Resistant,0.126144209,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Bleomycin,-0.969092756625776,Sensitive,-0.6705094,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Bleomycin,0.00795694480557092,Resistant,0.027452449,Resistant,Subgroup 2,pancreas-like
HuH-28,Bleomycin,0.330014670198937,Resistant,0.257516493,Resistant,Subgroup 2,liver-like
KKK-D068,Bleomycin,-0.654084515184511,Sensitive,-0.445481201,Sensitive,Subgroup 2,liver-like
KKK-D131,Bleomycin,-0.0304726729986671,Resistant,0,Resistant,Subgroup 2,pancreas-like
KKK-D138,Bleomycin,-0.203995407365693,Sensitive,-0.123957101,Sensitive,Subgroup 1,liver-like
KKU-055,Bleomycin,-0.898598335663256,Sensitive,-0.620151249,Sensitive,Subgroup 2,liver-like
KKU-100,Bleomycin,-1.56657706189627,Sensitive,-1.097326224,Sensitive,Subgroup 2,liver-like
KKU-156,Bleomycin,1.12045679179564,Resistant,0.822173996,Resistant,Subgroup 1,pancreas-like
KKU-213,Bleomycin,1.38530496365933,Resistant,1.011370021,Resistant,Subgroup 1,pancreas-like
KKU-214,Bleomycin,1.28684973637393,Resistant,0.941037885,Resistant,Subgroup 1,pancreas-like
RBE,Bleomycin,-0.663141026313799,Sensitive,-0.451950779,Sensitive,Subgroup 1,liver-like
SSP-25,Bleomycin,-1.12200917737645,Sensitive,-0.779746246,Sensitive,Subgroup 2,liver-like
TFK-1,Bleomycin,1.59520313152965,Resistant,1.161312151,Resistant,Subgroup 2,pancreas-like
YSCCC,Bleomycin,0.38218471506136,Resistant,0.294784506,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Bosutinib,-2.17754826572269,Sensitive,-0.763266174,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Bosutinib,0.433455176809902,Resistant,0.023019227,Resistant,Subgroup 2,pancreas-like
HuH-28,Bosutinib,-0.439042566472861,Sensitive,-0.239727358,Sensitive,Subgroup 2,liver-like
KKK-D068,Bosutinib,1.22305176258258,Resistant,0.260800709,Resistant,Subgroup 2,liver-like
KKK-D131,Bosutinib,0.911271146602054,Resistant,0.16691016,Resistant,Subgroup 2,pancreas-like
KKK-D138,Bosutinib,-0.114381126289571,Sensitive,-0.141957839,Sensitive,Subgroup 1,liver-like
KKU-055,Bosutinib,0.847555150506601,Resistant,0.147722534,Resistant,Subgroup 2,liver-like
KKU-100,Bosutinib,0.357015653877135,Resistant,0,Resistant,Subgroup 2,liver-like
KKU-156,Bosutinib,-0.771722356830988,Sensitive,-0.339911547,Sensitive,Subgroup 1,pancreas-like
KKU-213,Bosutinib,-1.26031413756971,Sensitive,-0.48704754,Sensitive,Subgroup 1,pancreas-like
KKU-214,Bosutinib,-1.2998761567159,Sensitive,-0.498961365,Sensitive,Subgroup 1,pancreas-like
RBE,Bosutinib,0.0617729419988823,Sensitive,-0.088910275,Sensitive,Subgroup 1,liver-like
SSP-25,Bosutinib,0.653847710370048,Resistant,0.089388895,Resistant,Subgroup 2,liver-like
TFK-1,Bosutinib,0.516033959232159,Resistant,0.047887249,Resistant,Subgroup 2,pancreas-like
YSCCC,Bosutinib,1.05888110762236,Resistant,0.211361866,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Bupalisib,-2.41948695549866,Sensitive,-0.345213839,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Bupalisib,-0.231863314772627,Sensitive,-0.032502224,Sensitive,Subgroup 2,pancreas-like
HuH-28,Bupalisib,-0.497882264367291,Sensitive,-0.070528516,Sensitive,Subgroup 2,liver-like
KKK-D068,Bupalisib,0.138505198288422,Resistant,0.0204404,Resistant,Subgroup 2,liver-like
KKK-D131,Bupalisib,1.22203522315142,Resistant,0.175326468,Resistant,Subgroup 2,pancreas-like
KKK-D138,Bupalisib,0.0999820591895353,Resistant,0.014933679,Resistant,Subgroup 1,liver-like
KKU-055,Bupalisib,-0.473900587670376,Sensitive,-0.067100436,Sensitive,Subgroup 2,liver-like
KKU-100,Bupalisib,-1.05449423960372,Sensitive,-0.150093861,Sensitive,Subgroup 2,liver-like
KKU-156,Bupalisib,0.560613733899189,Resistant,0.080779043,Resistant,Subgroup 1,pancreas-like
KKU-213,Bupalisib,1.58813638457975,Resistant,0.227659092,Resistant,Subgroup 1,pancreas-like
KKU-214,Bupalisib,-0.00448885796336232,Resistant,0,Resistant,Subgroup 1,pancreas-like
RBE,Bupalisib,1.1713311176997,Resistant,0.168078529,Resistant,Subgroup 1,liver-like
SSP-25,Bupalisib,-0.280147307174218,Sensitive,-0.039404218,Sensitive,Subgroup 2,liver-like
TFK-1,Bupalisib,0.674722506688551,Resistant,0.097090413,Resistant,Subgroup 2,pancreas-like
YSCCC,Bupalisib,-0.493062696446314,Sensitive,-0.069839579,Sensitive,Subgroup 2,pancreas-like
HuCCA-1,BYL719,-1.75651972577495,Sensitive,-0.535613724,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 2,pancreas-like
HuH-28,BYL719,-1.10064677684982,Sensitive,-0.367775576,Sensitive,Subgroup 2,liver-like
KKK-D068,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 2,liver-like
KKK-D131,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 2,pancreas-like
KKK-D138,BYL719,-2.12413220355649,Sensitive,-0.629685903,Sensitive,Subgroup 1,liver-like
KKU-055,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 2,liver-like
KKU-100,BYL719,0.274418960246787,Sensitive,-0.015895708,Sensitive,Subgroup 2,liver-like
KKU-156,BYL719,0.336535737662687,Resistant,0,Resistant,Subgroup 1,pancreas-like
KKU-213,BYL719,0.153975028297308,Sensitive,-0.046717358,Sensitive,Subgroup 1,pancreas-like
KKU-214,BYL719,0.497329735972976,Resistant,0.041147248,Resistant,Subgroup 1,pancreas-like
RBE,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 1,liver-like
SSP-25,BYL719,0.129261873981907,Sensitive,-0.053041464,Sensitive,Subgroup 2,liver-like
TFK-1,BYL719,0.774415386625014,Resistant,0.112053576,Resistant,Subgroup 2,pancreas-like
YSCCC,BYL719,-1.05671494973049,Sensitive,-0.356533404,Sensitive,Subgroup 2,pancreas-like
HuCCA-1,Caffeic APE,-0.924383988948721,Sensitive,-0.147338963,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,pancreas-like
HuH-28,Caffeic APE,-0.493271653995405,Sensitive,-0.105729438,Sensitive,Subgroup 2,liver-like
KKK-D068,Caffeic APE,0.602181007131631,Resistant,0,Resistant,Subgroup 2,liver-like
KKK-D131,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,pancreas-like
KKK-D138,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 1,liver-like
KKU-055,Caffeic APE,-2.92861335303792,Sensitive,-0.340780498,Sensitive,Subgroup 2,liver-like
KKU-100,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,liver-like
KKU-156,Caffeic APE,-0.86913515730231,Sensitive,-0.14200653,Sensitive,Subgroup 1,pancreas-like
KKU-213,Caffeic APE,0.132813382450419,Sensitive,-0.045301798,Sensitive,Subgroup 1,pancreas-like
KKU-214,Caffeic APE,-0.339163335684761,Sensitive,-0.090855417,Sensitive,Subgroup 1,pancreas-like
RBE,Caffeic APE,0.215410558426285,Sensitive,-0.037329794,Sensitive,Subgroup 1,liver-like
SSP-25,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,liver-like
TFK-1,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,pancreas-like
YSCCC,Caffeic APE,0.65773750585154,Resistant,0.005362128,Resistant,Subgroup 2,pancreas-like
HuCCA-1,CDK1_2III,-0.636654527258179,Sensitive,-0.047738418,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,CDK1_2III,-0.498735625319129,Sensitive,-0.008170114,Sensitive,Subgroup 2,pancreas-like
HuH-28,CDK1_2III,-0.733543080242586,Sensitive,-0.075535302,Sensitive,Subgroup 2,liver-like
KKK-D068,CDK1_2III,-0.0439601427075818,Resistant,0.122302898,Resistant,Subgroup 2,liver-like
KKK-D131,CDK1_2III,-0.809169758138802,Sensitive,-0.097232251,Sensitive,Subgroup 2,pancreas-like
KKK-D138,CDK1_2III,-0.139721647452886,Resistant,0.094829359,Resistant,Subgroup 1,liver-like
KKU-055,CDK1_2III,-0.2643293269988,Resistant,0.059079984,Resistant,Subgroup 2,liver-like
KKU-100,CDK1_2III,-0.567934299331367,Sensitive,-0.028022898,Sensitive,Subgroup 2,liver-like
KKU-156,CDK1_2III,1.26218582647019,Resistant,0.49703022,Resistant,Subgroup 1,pancreas-like
KKU-213,CDK1_2III,0.990862625549309,Resistant,0.419188831,Resistant,Subgroup 1,pancreas-like
KKU-214,CDK1_2III,1.53813391791523,Resistant,0.576198469,Resistant,Subgroup 1,pancreas-like
RBE,CDK1_2III,-0.470257954110455,Sensitive,0,Resistant,Subgroup 1,liver-like
SSP-25,CDK1_2III,-1.14947101959654,Sensitive,-0.194863131,Sensitive,Subgroup 2,liver-like
TFK-1,CDK1_2III,-0.669937440411288,Sensitive,-0.057287134,Sensitive,Subgroup 2,pancreas-like
YSCCC,CDK1_2III,2.19253245163288,Resistant,0.763942424,Resistant,Subgroup 2,pancreas-like
HuCCA-1,Celastrol,-1.17780488481161,Sensitive,-0.284065785,Sensitive,Subgroup 1,pancreas-like
HuCCT-1,Celastrol,-1.21577542166741,Sensitive,-0.291250679,Sensitive,Subgroup 2,pancreas-like
HuH-28,Celastrol,-0.870292205871958,Sensitive,-0.225877353,Sensitive,Subgroup 2,liver-like
KKK-D068,Celastrol,0.58204328318976,Resistant,0.048937738,Resistant,Subgroup 2,liver-like
KKK-D131,Celastrol,-0.281884877681483,Sensitive,-0.114537229,Sensitive,Subgroup 2,pancreas-like
KKK-D138,Celastrol,0.812742678842583,Resistant,0.09259134,Resistant,Subgroup 1,liver-like
