ID,Description,Cell,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,,
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,A443654_S.R,172,0.237782797,0.996503182,0.444839858,0.651260504,0.452454666,3046,tags=30%, list=24%, signal=23%,LAMA4/MARC2/SLC27A1/FZD4/DDT/PEMT/PHLDB1/PEX14/LIPE/SSPN/HADH/UQCRQ/PPARG/ELMOD3/ACAA2/TALDO1/CDKN2C/DNAJB9/FAH/DNAJC15/COQ5/DECR1/SPARCL1/ITGA7/AIFM1/SOD1/GBE1/DHRS7B/NMT1/PFKFB3/IDH3G/HIBCH/ANGPTL4/C3/MGLL/RAB34/UQCR11/ABCB8/PDCD4/GPAM/AGPAT3/CRAT/TANK/SLC25A1/QDPR/STAT5A/ARL4A/UCP2/CD302/GPD2/NABP1
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,A443654_S.R,57,-0.280030801,-1.002824979,0.455882353,0.651260504,0.452454666,2847,tags=28%, list=23%, signal=22%,IPO4/HK2/NPM1/PA2G4/MCM4/MPHOSPH10/GNL3/TMEM97/NOP56/NOLC1/MYC/DCTPP1/MYBBP1A/UNG/PPRC1/BYSL
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,A443654_S.R,122,-0.242418378,-0.988006432,0.481400438,0.668611719,0.464509194,1699,tags=18%, list=14%, signal=16%,MARK2/ACAA1/IRF1/CLTB/ASNS/GCH1/PRKCD/HSPA2/MGAT1/CHRNA5/GPX3/NAT1/CREG1/SPR/BMP2/FOS/RRAD/ATF3/FOSB/EPCAM/CXCL2/AQP3
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,A443654_S.R,194,0.229563563,0.975748321,0.510452962,0.6898013,0.479230377,3037,tags=25%, list=24%, signal=19%,EPB41L2/BIN1/TRIO/ABR/SYNPO/CDC42BPA/NEDD9/ARL8A/PALLD/TAOK2/NCK2/MID1/NOTCH2/ALS2/BCL2L11/SSH2/CCDC88A/DOCK4/ARHGAP10/CLASP1/CENPF/ARHGAP29/RASA1/ARAP3/CYTH2/ARHGEF2/NEK2/SORBS2/ARHGEF11/VCL/KIFAP3/TSC1/MYH10/AKAP13/UXT/KNTC1/CENPJ/TLK1/CTTN/LMNB1/NUMA1/KIF1B/MAP3K11/ABL1/TUBGCP6/MARK4/WASF1/CAPZB
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,A443654_S.R,127,-0.231159254,-0.943962666,0.594654788,0.77087092,0.535552429,2093,tags=24%, list=17%, signal=20%,ADSL/DLD/ACSM3/AUH/TP53INP2/MDH2/APEX1/S100A10/CPOX/ERP29/ACAA1/SDHC/SUCLA2/PTS/GCDH/PSME1/BPHL/ACOT2/RETSAT/HMGCS1/SDHA/RDH11/ALDH3A1/MCEE/LTC4S/ECH1/SMS/REEP6/GLUL/CCDC58
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,A443654_S.R,29,-0.30379604,-0.915409266,0.601279318,0.77087092,0.535552429,1639,tags=31%, list=13%, signal=27%,PSENEN/PPARD/MAML2/NOTCH3/LFNG/DTX1/RBX1/HES1/DTX4
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,A443654_S.R,70,0.255329709,0.927541722,0.620183486,0.775229358,0.538580396,2405,tags=24%, list=19%, signal=20%,ABCA4/ACSL5/LIPE/FDXR/FADS2/SLC27A5/HSD3B7/EFHC1/ABCA2/NR3C2/MLYCD/SOD1/ABCA3/SLC23A1/HSD17B11/SLC35B2/ATXN1
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,A443654_S.R,44,0.264158655,0.878610126,0.680733945,0.818452381,0.568609023,2291,tags=27%, list=18%, signal=22%,NQO1/EGLN2/STK25/G6PD/ABCC1/GLRX/GLRX2/SOD1/NDUFS2/PDLIM1/MGST1/TXNRD1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,A443654_S.R,28,-0.286848871,-0.859022233,0.6875,0.818452381,0.568609023,3790,tags=50%, list=30%, signal=35%,TCF7/NOTCH1/RBPJ/CTNNB1/CSNK1E/MAML1/CUL1/SKP2/PSEN2/MYC/NCSTN/PPARD/JAG2/PTCH1
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,A443654_S.R,132,0.212735578,0.863846385,0.783687943,0.91126505,0.633089403,2137,tags=21%, list=17%, signal=18%,COL6A1/APLP1/ITGAV/MAP6/DENND5A/GADD45B/CD81/CSF1/PTRH2/RNH1/WLS/ANXA4/NRP1/BCL2/SOCS2/SPRY4/RRAGD/CST7/FAH/AHR/IGF2R/MYO1C/LIF/GABARAPL1/NCS1/BMPR2/COCH/MAPKAPK2
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,A443654_S.R,50,0.243131784,0.812936983,0.805293006,0.915105688,0.635757636,1138,tags=18%, list=9%, signal=16%,ITGA4/CSF1/IL17RB/IRF9/IL6ST/IL7/PDGFC/HMOX1/TGFB1
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,A443654_S.R,15,0.283765262,0.724272151,0.840319361,0.933688179,0.648667577,560,tags=13%, list=4%, signal=13%,DPP4/AKT3
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,A443654_S.R,65,-0.196345108,-0.716166565,0.934354486,1,0.694736842,2841,tags=23%, list=23%, signal=18%,PRKAR2A/CHFR/STRBP/CDKN3/RPL39L/IFT88/PSMG1/GSG1/BRAF/HSPA2/GMCL1/MLF1/TULP2/TTK/MAP7
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,A443654_S.R,155,-0.184648174,-0.775712625,0.942263279,1,0.694736842,2934,tags=30%, list=23%, signal=23%,RIOK3/GMPS/KAT2B/MINPP1/EPOR/ENDOD1/NARF/YPEL5/RNF19A/CAST/FBXO34/SLC22A4/BLVRA/DCUN1D1/PSMD9/TOP1/EPB41/BSG/KDM7A/LRP10/ATG4A/FOXO3/CDR2/RAP1GAP/CCND3/E2F2/IGSF3/CPOX/GCLM/PC/TFDP2/ARL2BP/DCAF11/ASNS/SLC25A37/SLC11A2/GLRX5/NUDT4/KLF3/SLC6A9/ISCA1/OSBP2/ABCG2/TSPO2/BLVRB/AQP3
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,A443654_S.R,85,0.176609664,0.667517571,0.981818182,1,0.694736842,3168,tags=27%, list=25%, signal=20%,SEMA3C/PEX11B/ACOT8/PEX14/ACSL5/CRABP2/HSD3B7/ABCC5/MLYCD/SOD1/SLC25A4/HMGCL/HSD17B11/SLC35B2/ATXN1/SIAH1/DLG4/CRAT/EHHADH/FIS1/GSTK1/SLC23A2/FDPS
