Batch,cellline,agent,type,Subtype1,Subtype2,GR50,GR_AOC,IC50,AUC
B51,SSP25,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,7.197616444,0.103888689,7.845406087,0.896883078
B51,TFK1,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.044292274,10,0.969272518
B51,YSCCC,AZD4547,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,-0.039606523,10,1.026819687
B30,HuCCA1,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.096993465,0.592092058,8.464012649,0.619679373
B30,HuCCT1,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.111794852,0.605809505,0.20325792,0.55677073
B30,HUH28,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.430287272,0.422411923,10,0.845950582
B30,KKU055,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.101010026,0.65516324,0.121915941,0.457054776
B30,KKU100,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.078814627,0.668914325,0.078301889,0.416206334
B30,KKU156,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.08357109,0.683570174,0.048668886,0.307993687
B30,KKU213,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.194513678,0.507819779,0.115547071,0.431325521
B30,KKU214,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.209607316,0.51948427,0.189935367,0.532277019
B30,KKKD068,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.190178212,0.51470785,10,0.708389115
B30,KKKD131,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.049427869,0.785759634,0.505820719,0.588569651
B30,KKKD138,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.076485805,0.870908887,0.115721889,0.436890178
B30,RBE,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.150372183,0.542214767,0.170139486,0.514805002
B30,SSP25,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.15404141,0.583130386,0.23907657,0.54918554
B30,TFK1,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.086503875,0.608461749,0.075604652,0.42468698
B30,YSCCC,AZD8055,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.106622486,0.714910567,0.1809124,0.513064182
Bmix,HuCCA1,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.805641116,0.576517956,1.030842725,0.653730683
Bmix,HuCCT1,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.536999601,0.242293296,2.539673471,0.852340353
Bmix,HUH28,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.34054376,0.717653094,2.574707521,0.761401063
Bmix,KKU055,BAY11-7082,Targeted drug,NF_kB,NF_kB,0.24207016,0.654014413,0.09399165,0.384263777
Bmix,KKU100,BAY11-7082,Targeted drug,NF_kB,NF_kB,1.517289388,0.417782505,1.834341606,0.735338141
Bmix,KKU156,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.27482163,0.272436958,2.089169319,0.772858968
Bmix,KKU213,BAY11-7082,Targeted drug,NF_kB,NF_kB,6.808059006,0.052924771,7.268993455,0.958871052
Bmix,KKU214,BAY11-7082,Targeted drug,NF_kB,NF_kB,7.253729906,0.035898768,7.666994006,0.975614514
Bmix,KKKD068,BAY11-7082,Targeted drug,NF_kB,NF_kB,3.690843202,0.095282129,4.519689187,0.952008882
Bmix,KKKD131,BAY11-7082,Targeted drug,NF_kB,NF_kB,6.924057171,-0.00438357,7.712162584,1.014205364
Bmix,KKKD138,BAY11-7082,Targeted drug,NF_kB,NF_kB,5.559503218,0.108040693,7.287821936,0.925935347
Bmix,RBE,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.42343183,0.302612926,2.426148553,0.797536198
Bmix,SSP25,BAY11-7082,Targeted drug,NF_kB,NF_kB,10,0.034284438,10,0.961788932
Bmix,TFK1,BAY11-7082,Targeted drug,NF_kB,NF_kB,4.785243802,0.104915075,4.447278046,0.921186496
Bmix,YSCCC,BAY11-7082,Targeted drug,NF_kB,NF_kB,2.721728431,0.278365122,2.854691711,0.815749707
B30,HuCCA1,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.168785421,0.555758174,10,0.735591687
B30,HuCCT1,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.022827841,0.842176545,0.082369903,0.448221529
B30,HUH28,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.20039816,0.630111553,10,0.775310501
B30,KKU055,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.049040085,0.79535707,0.054417783,0.368031177
B30,KKU100,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.009765625,0.787919113,0.010794978,0.345862292
B30,KKU156,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.023144044,0.731743117,0.029706902,0.369210737
B30,KKU213,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.107785274,0.58863181,0.096626376,0.431002366
B30,KKU214,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.076530513,0.620098002,0.826635278,0.557107054
B30,KKKD068,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.044485238,0.801655447,1.030473026,0.593797265
B30,KKKD131,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.009765625,1.078759625,0.525617568,0.528237305
B30,KKKD138,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.017766962,1.265806303,0.03315706,0.267160965
B30,RBE,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.066239511,0.666261238,0.131054661,0.544820133
B30,SSP25,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.056497157,0.649634498,1.24816981,0.570740004
B30,TFK1,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.02498638,0.67772092,0.030700596,0.389844325
B30,YSCCC,BEZ-235,Targeted drug,TOR_signaling,TOR_signaling_mTOR,0.009765625,0.97233985,0.048431544,0.375860345
Bmix,HuCCA1,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.339682413,0.192067122,4.151588701,0.878945165
Bmix,HuCCT1,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,4.085725569,0.106071061,3.872140247,0.909951959
Bmix,HUH28,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.009765625,1.65659111,9.196515442,0.840623603
Bmix,KKU055,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,1.88184893,0.343012124,0.92941505,0.588062374
Bmix,KKU100,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.108410393,10,0.884452659
Bmix,KKU156,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.591664338,0.072376115,2.892216825,0.975322935
Bmix,KKU213,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,2.882648058,0.208853194,2.197882532,0.779986075
Bmix,KKU214,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.046346321,0.133041011,2.680265531,0.871140172
Bmix,KKKD068,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.631342605,0.087060459,4.92842033,0.940566222
Bmix,KKKD131,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,6.675463176,0.039369548,7.614866527,0.971272865
Bmix,KKKD138,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.241867925,0.552615174,0.558395927,0.54330312
Bmix,RBE,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,8.732378124,0.054946618,8.667649358,0.942216491
Bmix,SSP25,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.403852128,0.256572349,3.719654478,0.738586135
Bmix,TFK1,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,-0.006094231,10,1.009492847
Bmix,YSCCC,BGJ398-Nov,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,-0.01072276,10,1.012259024
B51,HuCCA1,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,8.844136202,0.032979519,10,0.983476598
B51,HuCCT1,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,5.550109713,0.117344515,7.580060045,0.891703439
B51,HUH28,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,1.943815415,0.32417434,10,0.852920056
B51,KKU055,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.55672287,0.471143409,0.395292409,0.523711661
B51,KKU100,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,4.114919672,0.19275055,6.342867587,0.883421385
B51,KKU156,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,4.605673111,0.115205122,5.120450634,0.913684135
B51,KKU213,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,5.223506503,0.084784629,5.78436518,0.926502049
B51,KKU214,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,4.761420872,0.112805344,5.443067389,0.895505246
B51,KKKD068,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,3.503297915,0.147302199,10,0.892237749
B51,KKKD131,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.099755689,10,0.934516041
B51,KKKD138,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,0.742190883,0.441005037,1.782402248,0.667778526
B51,RBE,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,8.568255354,0.025795159,9.440454883,0.980040249
B51,SSP25,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,7.413718801,0.08765776,7.592332954,0.915828428
B51,TFK1,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,0.024887185,10,0.982619394
B51,YSCCC,BGJ398-NVP,Targeted drug,RTK_signaling_FGFR,RTK_signaling_FGFR,10,-0.035894713,10,1.024272298
B46,HuCCA1,Birinapant,Targeted drug,IAP,IAP,10,0.051724643,10,0.957418556
B46,HuCCT1,Birinapant,Targeted drug,IAP,IAP,10,0.162162018,10,0.825863173
B46,HUH28,Birinapant,Targeted drug,IAP,IAP,7.479211088,0.147700541,10,0.92886494
B46,KKU055,Birinapant,Targeted drug,IAP,IAP,6.063607668,0.216390208,1.961805184,0.701886756
B46,KKU100,Birinapant,Targeted drug,IAP,IAP,0.459190343,0.4542393,0.577197782,0.578387841
B46,KKU156,Birinapant,Targeted drug,IAP,IAP,0.219387732,0.528518539,0.065732323,0.406695933
B46,KKU213,Birinapant,Targeted drug,IAP,IAP,0.118310318,0.619919771,0.058795199,0.347996981
B46,KKU214,Birinapant,Targeted drug,IAP,IAP,1.279957912,0.34470759,0.292998331,0.589635266
B46,KKKD068,Birinapant,Targeted drug,IAP,IAP,0.009765625,1.418465896,0.005734787,0.103528742
B46,KKKD131,Birinapant,Targeted drug,IAP,IAP,5.239815433,0.368916861,10,0.651396536
B46,KKKD138,Birinapant,Targeted drug,IAP,IAP,10,0.116108088,10,0.863317194
B46,RBE,Birinapant,Targeted drug,IAP,IAP,10,0.007590952,10,0.9925243
B46,SSP25,Birinapant,Targeted drug,IAP,IAP,10,0.012289191,10,0.984815214
B46,TFK1,Birinapant,Targeted drug,IAP,IAP,10,0.061258234,10,0.909714192
B46,YSCCC,Birinapant,Targeted drug,IAP,IAP,10,0.021907541,10,0.980276806
B51,HuCCA1,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.147291759,0.661111451,0.932389669,0.662350876
B51,HuCCT1,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.73475119,0.379203656,0.999733141,0.679349549
B51,HUH28,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,1.247970565,0.279620219,5.994999406,0.87901482
B51,KKU055,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.165400417,0.715840179,0.135184521,0.406355605
B51,KKU100,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.055126653,0.897276445,0.152306768,0.471921152
B51,KKU156,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,4.579961689,0.169735451,6.866749314,0.859589079
B51,KKU213,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,7.080401244,0.125893688,8.913264182,0.882190371
B51,KKU214,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,6.021791777,0.141681104,7.991471329,0.867721092
B51,KKKD068,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.247290053,0.604011058,0.432219892,0.593823014
B51,KKKD131,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.689743869,0.412501701,2.057824878,0.741530492
B51,KKKD138,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.518478495,0.511319276,0.888121596,0.639664055
B51,RBE,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.243633537,0.537744065,0.383972733,0.586597143
B51,SSP25,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,0.114535892,0.764294651,0.124951422,0.4117801
B51,TFK1,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,10,0.111422625,10,0.922506302
B51,YSCCC,Bleomycin,Chemotherapeutic drug,Intercalation_into_DNA,Intercalation_into_DNA,1.359791601,0.299680152,3.647980617,0.811019529
B37,HuCCA1,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.685527966,0.002263181,0.044613699
B37,HuCCT1,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.874178179,0.013469982,0.024392145
B37,HUH28,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.957712284,0.006512563,0.036202026
B37,KKU055,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.701586812,0.004879348,0.002598105
B37,KKU100,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.790019943,0.002938752,0.00951359
B37,KKU156,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.711326341,10,0.003964871
B37,KKU213,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.744962898,0.006125987,0.00563758
B37,KKU214,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.807752385,0.001675224,0.001386089
B37,KKKD068,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.904541342,0.004517877,0.008460804
B37,KKKD131,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.805423902,0.0088717,0.035005066
B37,KKKD138,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.876011719,0.002285533,0.007614337
B37,RBE,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.469986878,0.001331245,0.097070397
B37,SSP25,Bortezomib,Targeted drug,Proteosome,Proteosome,0.01802841,1.553720219,0.020075984,0.119051332
B37,TFK1,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.548103671,0.007048208,0.031575479
B37,YSCCC,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,1.757943155,0.005671444,0.073394568
B29,HuCCA1,Bosutinib,Targeted drug,ABL_signaling,ABL_signaling_Src_Abl,0.37696355,0.425070904,5.704942061,0.72939042
B29,HuCCT1,Bosutinib,Targeted drug,ABL_signaling,ABL_signaling_Src_Abl,2.304542703,0.250558401,2.196071664,0.798768206
