Gene,Drug,test.ROC.AUC,Varimp.Score
EHD1,Abemaciclib,0.833333333,81.65614465
SKAP2,Abemaciclib,0.833333333,92.45217188
CTSS,Abemaciclib,0.916666667,88.90831687
FDXR,Abemaciclib,0.916666667,90.13440839
RXRA,Abemaciclib,0.916666667,97.54598799
NRP1,Abemaciclib,0.833333333,81.32257625
DAB2,Abemaciclib,0.916666667,100
LAMC1,Abemaciclib,0.916666667,91.43380337
LCLAT1,Abemaciclib,0.916666667,91.43380337
GMPPA,Abemaciclib,0.833333333,100
CDH13,Abemaciclib,0.916666667,100
POM121,Abemaciclib,1,100
COL7A1,Abemaciclib,0.833333333,97.76694851
VCAN,Abemaciclib,0.833333333,86.35179893
ME1,Abemaciclib,0.833333333,95.63839463
SMPDL3A,Abemaciclib,0.833333333,83.19104368
MMD,Abemaciclib,1,100
CLU,Abemaciclib,1,84.11703658
ETV5,Abemaciclib,1,94.35151454
NDRG2,Abemaciclib,1,84.11703658
PYCR1,Abemaciclib,1,91.14162182
TSPAN4,Abemaciclib,1,83.04790121
GATA3,Abemaciclib,0.916666667,91.42317924
PLAG1,Abemaciclib,0.916666667,91.42317924
CEBPA,Abemaciclib,0.833333333,97.56601454
INHBA,Abemaciclib,0.833333333,89.94525374
IP6K2,Abemaciclib,0.833333333,92.82048873
RAB40C,Abemaciclib,0.833333333,91.83872233
FOS,Abemaciclib,0.916666667,85.80236233
GPC4,Abemaciclib,0.916666667,84.73884121
ST6GAL1,Abemaciclib,0.916666667,85.80236233
CENPA,Abemaciclib,0.833333333,84.05749732
IRS1,Abemaciclib,0.833333333,100
LIPA,Abemaciclib,0.833333333,97.45853263
SYK,Abemaciclib,0.833333333,85.1685
ICAM2,Abemaciclib,0.916666667,83.67548013
SWAP70,Abemaciclib,1,100
STAG3,Abemaciclib,0.833333333,81.8947435
PRKG2,Abemaciclib,0.833333333,100
VTN,Abemaciclib,0.833333333,89.33938138
SNX14,Abemaciclib,1,98.71232142
CLDN5,Abemaciclib,0.833333333,88.45911128
ITGB2,Abemaciclib,0.833333333,82.9637089
MAOA,Abemaciclib,0.833333333,98.94348727
SERTAD3,Abemaciclib,0.833333333,88.45911128
THBD,Abemaciclib,0.833333333,96.86197058
ACP2,Abemaciclib,1,82.86633113
SPRED2,Abemaciclib,1,100
GRB7,Abemaciclib,1,91.88454421
MAP3K1,Abemaciclib,1,100
NFS1,Abemaciclib,1,95.02188875
SLC3A2,Abemaciclib,1,92.81617047
RAP1GAP,Abemaciclib,1,93.19636281
CLDN4,Abemaciclib,0.916666667,93.8176009
CDH2,Abemaciclib,0.833333333,80.37362751
CTSC,Abemaciclib,0.833333333,92.84996052
IRF2,Abemaciclib,0.833333333,86.61179401
LYPD3,Abemaciclib,0.833333333,92.84996052
PTS,Abemaciclib,0.833333333,95.00203725
AADAT,Afatinib,0.833333333,83.60344948
CBR1,Afatinib,0.833333333,100
CBX1,Afatinib,0.833333333,99.21612978
DDX18,Afatinib,0.833333333,83.60344948
ELOVL5,Afatinib,0.833333333,83.18862277
FUCA1,Afatinib,0.833333333,83.18862277
GINS4,Afatinib,0.833333333,82.5074512
KPNB1,Afatinib,0.833333333,82.5074512
MTHFD2,Afatinib,0.833333333,82.44537068
NDUFB4,Afatinib,0.833333333,93.32597253
PTS,Afatinib,0.833333333,84.69944777
RHOB,Afatinib,0.833333333,84.69944777
SRSF10,Afatinib,0.833333333,83.60344948
SSRP1,Afatinib,0.833333333,82.5074512
TIMM10,Afatinib,0.833333333,92.33558906
ABL1,Afatinib,0.833333333,87.09029058
BLCAP,Afatinib,0.833333333,81.25434848
KRT17,Afatinib,0.833333333,89.63307228
METAP1,Afatinib,0.833333333,94.67240126
SMC2,Afatinib,0.833333333,91.20777465
DSCC1,Afatinib,0.833333333,94.757812
EPS8L2,Afatinib,0.833333333,90.79747043
H2AFZ,Afatinib,0.833333333,100
LDHB,Afatinib,0.833333333,98.94348727
RAD54L,Afatinib,0.833333333,94.87047885
TIMM8B,Afatinib,0.833333333,84.13288848
BTG2,Afatinib,1,100
G0S2,Afatinib,1,90.79747043
H2AFX,Afatinib,1,87.9503603
HMGN2,Afatinib,1,88.45911128
IER5,Afatinib,1,88.39288555
NUP153,Afatinib,1,90.79747043
TNC,Afatinib,1,98.94348727
TPD52L1,Afatinib,1,98.39964504
UBE2C,Afatinib,1,98.39964504
BDH2,Afatinib,1,96.74823008
DEPTOR,Afatinib,1,82.7450871
ECHS1,Afatinib,1,91.13148935
ESPL1,Afatinib,1,81.67959634
MGLL,Afatinib,1,91.13148935
PSMD3,Afatinib,1,81.67959634
TXNL4A,Afatinib,1,100
VDAC3,Afatinib,1,80.61410557
DHRS3,Afatinib,1,88.76990554
EIF4E,Afatinib,1,84.3149607
EXO1,Afatinib,1,92.5072141
USP1,Afatinib,1,88.76990554
SGK1,Afatinib,1,100
SMAD3,Afatinib,1,90.11839274
CD44,Afatinib,1,84.75642027
UBE2L6,Afatinib,1,90.73881011
ACAA2,Afatinib,1,83.46688085
CS,Afatinib,1,83.06008314
NME1,Afatinib,1,82.3920957
ORC6,Afatinib,1,81.98529799
SUCLG2,Afatinib,1,81.31731055
CD55,Afatinib,0.833333333,98.44619164
HADHA,Afatinib,0.833333333,84.57656585
KIF18B,Afatinib,0.833333333,82.48417995
FHL2,Afatinib,0.833333333,81.34185264
GM2A,Afatinib,0.833333333,100
HDDC2,Afatinib,1,80.91758832
BMP2,Afatinib,1,100
HPGD,Afatinib,1,99.40781394
ID2,Afatinib,1,89.85674695
IGFBP4,Afatinib,1,91.12985852
SLC7A5,Afatinib,1,91.12985852
TFPI2,Afatinib,1,89.85674695
D2HGDH,Afatinib,1,83.46688085
SLC26A2,Afatinib,1,91.42650373
AFF1,Afatinib,1,91.55575838
LMNB1,Afatinib,1,91.96443333
PSMC4,Afatinib,1,92.95185146
CCND1,Afatinib,1,82.67580826
MRPL23,Afatinib,1,82.67580826
CDH1,Afatinib,1,80.23011474
CENPE,Afatinib,1,94.5458008
MRPS11,Afatinib,1,99.36542558
NDUFC1,Afatinib,1,87.68430828
NXT1,Afatinib,1,88.99505183
RNF144B,Afatinib,1,87.26441423
ABCE1,Afatinib,1,80.52609841
POLE3,Afatinib,0.833333333,87.42695083
ST6GALNAC2,Afatinib,1,81.65573093
CDH13,Afatinib,0.833333333,89.50559238
PDE4B,Afatinib,0.833333333,98.93098861
TMPO,Afatinib,0.833333333,88.32258128
COX6B1,Afatinib,1,92.6825587
POLA2,Afatinib,0.833333333,80.15196287
PTGER4,Afatinib,0.833333333,80.15196287
PSMD8,Afatinib,0.833333333,85.62069066
GPI,Afatinib,1,100
BUB1,Afatinib,0.833333333,84.92054669
CDC20,Afatinib,0.833333333,84.92054669
HSPE1,Afatinib,0.833333333,84.92054669
NDUFB2,Afatinib,0.833333333,84.92054669
NUP107,Afatinib,0.833333333,84.92054669
NUP205,Afatinib,0.833333333,84.92054669
PIDD1,Afatinib,0.833333333,91.13756556
PSMD1,Afatinib,0.833333333,97.35458443
SRPK1,Afatinib,0.833333333,84.92054669
RRM2,Afatinib,0.833333333,100
MAP3K8,Afatinib,0.833333333,86.39358818
SPC25,Afatinib,0.833333333,86.39358818
PPP2R5B,Afatinib,0.833333333,81.34615937
TARDBP,Afatinib,0.833333333,88.14856356
THSD4,Afatinib,0.833333333,80.94584297
BUB3,Afatinib,0.833333333,100
COPS5,Afatinib,0.833333333,90.35494518
NDUFS3,Afatinib,0.833333333,90.35494518
NTHL1,Afatinib,0.833333333,98.39964504
PSMD14,Afatinib,0.833333333,90.79747043
ODF2,Afatinib,0.833333333,92.65994755
DEF6,Afatinib,0.833333333,89.70161525
IFIT2,Afatinib,0.833333333,100
IL23A,Afatinib,0.833333333,89.70161525
KDM6B,Afatinib,0.833333333,82.39276744
UGDH,Afatinib,0.833333333,90.98381954
TPBG,Afatinib,0.833333333,85.86914112
COX6C,Afatinib,1,90.44636349
JUNB,Afatinib,1,83.84358357
SLC3A2,Afatinib,1,82.74986411
BRCA1,Afatinib,0.833333333,85.39466585
LUC7L3,Afatinib,0.833333333,81.16237534
SESN1,Afatinib,1,85.3198951
TGM2,Afatinib,1,92.65994755
PTX3,Afatinib,1,86.90295439
CBX5,Afatinib,1,82.3920957
STAG1,Afatinib,0.833333333,88.9428199
PHLDA3,Afatinib,1,85.3198951
SRSF3,Afatinib,0.833333333,93.84299722
RCAN1,Afatinib,1,85.43948119
E2F1,Afatinib,0.833333333,86.35179893
ITGAV,Afatinib,0.833333333,86.35179893
TNNI1,Afatinib,0.833333333,85.43948119
DTYMK,Afatinib,0.833333333,86.25355359
KLF4,Afatinib,0.833333333,95.56003094
JAK2,Afatinib,1,100
ZMAT3,Afatinib,1,85.34300782
CDK2,Afatinib,1,100
BMP1,Afatinib,0.833333333,85.62215241
SAP30,Afatinib,0.833333333,90.3589378
B4GALT5,Afatinib,0.833333333,93.35354381
ACAA1,Afatinib,0.833333333,100
ELF3,Afatinib,0.833333333,91.35701117
MAD2L1,Afatinib,0.833333333,94.27737511
TOB1,Afatinib,0.833333333,83.49099483
UQCRQ,Afatinib,0.833333333,83.49099483
GINS2,Afatinib,0.833333333,91.95031915
HNRNPA3,Afatinib,1,100
ICAM1,Afatinib,1,91.7875292
ADAM8,Azacitidine,0.833333333,80.57741004
AGR2,Azacitidine,0.833333333,89.43726165
FZD5,Azacitidine,0.833333333,100
KRT17,Azacitidine,0.833333333,82.04081166
LAD1,Azacitidine,0.833333333,82.04081166
PTPN6,Azacitidine,0.833333333,96.10182866
SDC1,Azacitidine,0.833333333,80.97921574
SLC27A2,Azacitidine,0.833333333,90.39655792
TNFAIP2,Azacitidine,0.833333333,80.97921574
F3,Azacitidine,0.833333333,80.82153067
FDFT1,Azacitidine,0.833333333,80.82153067
PLK1,Azacitidine,0.833333333,89.72769682
RPL34,Azacitidine,0.833333333,100
TNIP1,Azacitidine,0.833333333,88.77026853
TRIP10,Azacitidine,0.833333333,81.88105943
ALOX12B,Azacitidine,1,82.12770995
ASS1,Azacitidine,1,82.12770995
BHLHE40,Azacitidine,1,95.78942748
DDIT4,Azacitidine,1,82.12770995
ELF3,Azacitidine,1,100
ETS2,Azacitidine,1,82.12770995
KCNK5,Azacitidine,1,82.12770995
PSMD7,Azacitidine,1,87.95363842
SERPINA1,Azacitidine,1,92.46985698
SGCB,Azacitidine,1,95.01906786
SYT12,Azacitidine,1,82.12770995
TRIM29,Azacitidine,1,82.12770995
NOC4L,Azacitidine,0.833333333,82.57543205
PCDH1,Azacitidine,0.833333333,88.75154284
PRODH,Azacitidine,0.833333333,100
TBC1D30,Azacitidine,0.833333333,93.18074337
TNFAIP8,Azacitidine,0.833333333,82.10366384
AQP3,Azacitidine,0.833333333,94.69579633
AREG,Azacitidine,0.833333333,83.57496915
BMP2,Azacitidine,0.833333333,83.57496915
CELSR1,Azacitidine,0.833333333,83.57496915
COL3A1,Azacitidine,0.833333333,90.31839384
ELF1,Azacitidine,0.833333333,83.57496915
ENDOD1,Azacitidine,0.833333333,83.57496915
FERMT2,Azacitidine,0.833333333,83.57496915
FN1,Azacitidine,0.833333333,90.31839384
FSTL1,Azacitidine,0.833333333,83.57496915
GALNT3,Azacitidine,0.833333333,94.62878715
GPRC5C,Azacitidine,0.833333333,83.57496915
ITGA5,Azacitidine,0.833333333,83.57496915
ITGB2,Azacitidine,0.833333333,83.57496915
JAG2,Azacitidine,0.833333333,83.57496915
JUP,Azacitidine,0.833333333,95.87880744
PLOD3,Azacitidine,0.833333333,95.43104706
SERPINB5,Azacitidine,0.833333333,83.57496915
TGFA,Azacitidine,0.833333333,83.57496915
TSPAN1,Azacitidine,0.833333333,83.57496915
ACP1,Azacitidine,0.916666667,81.76987685
ANO1,Azacitidine,0.916666667,98.99057388
AP3S1,Azacitidine,0.916666667,90.90935373
BAK1,Azacitidine,0.916666667,80.53577642
CAV1,Azacitidine,0.916666667,90.4078828
EIF4H,Azacitidine,0.916666667,80.53577642
EREG,Azacitidine,0.916666667,81.76987685
FARSA,Azacitidine,0.916666667,81.76987685
IGFBP2,Azacitidine,0.916666667,100
RPL6,Azacitidine,0.916666667,80.53577642
RPLP0,Azacitidine,0.916666667,81.76987685
TM7SF3,Azacitidine,0.916666667,80.53577642
WDR74,Azacitidine,0.916666667,90.36821627
SORD,Azacitidine,0.916666667,100
SRSF2,Azacitidine,0.916666667,100
IFIT2,Azacitidine,1,90.73674575
PHLDA3,Azacitidine,1,100
CALU,Azacitidine,0.916666667,85.98532964
FAM120A,Azacitidine,0.916666667,85.98532964
LSM7,Azacitidine,0.916666667,92.68306469
TPM2,Azacitidine,0.916666667,100
VEGFC,Azacitidine,0.916666667,86.45551123
SERPINE2,Azacitidine,0.916666667,87.3281186
VDR,Azacitidine,0.916666667,86.38940555
LLGL2,Azacitidine,1,93.41322925
NBL1,Azacitidine,1,99.77937319
SLC25A23,Azacitidine,1,91.90993986
