cell_line,agent,type,Subtype1,Subtype2,GR50,GRmax,GR_AOC,GEC50,Grinf,h_GR,r2_GR,pval_GR,flat_fit_GR,IC50,Emax,AUC,EC50,Einf,h,r2_IC,pval_IC,flat_fit_IC,MedianGR50,SubMedianGR50,MedianGR50,SubMedianGR50,MedianGRmax
YSCCC,Celastrol,Targeted drug,Proteosome,Proteosome,1.294403888,-0.999540184,0.529360529,1.678081652,-1,4.233379503,0.999133605,7.36E-14,NA,1.508473554,0.0000166,0.717957771,1.508473554,0,4.742671622,0.998453025,1.07E-12,NA,0.112069809,0,0.112069809,0,-0.99264263
HuCCA-1,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.021523837,-0.979627233,1.447693527,0.049770856,-0.932567628,1.257237245,0.987030245,3.23E-09,NA,0.051655812,0.009521045,0.272905259,0.049004857,0.032189671,1.261628641,0.987391249,2.86E-09,NA,-1.793142349,0.126062043,-1.793142349,0.126062043,-0.937470501
HuCCT-1,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.016884561,-0.944869388,1.378912575,0.071314733,-1,0.762248576,0.951214186,0.000001255,NA,0.016357886,0.000730482,0.170649539,0.016357886,0,0.712554065,0.954409439,0.000000923,NA,-1.793142349,0.020632122,-1.793142349,0.020632122,-0.937470501
HuH-28,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.009765625,-0.995823502,1.890141796,0.004069824,-0.99402808,0.988088005,0.994472433,2.71E-10,NA,0.004765471,0.004463239,0.073142712,0.004731616,0.003096959,0.882122567,0.992456206,6.35E-10,NA,-1.793142349,-0.217157608,-1.793142349,-0.217157608,-0.937470501
KKU-055,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.021366387,-0.926068358,1.42775923,0.053670304,-0.933964092,1.143590412,0.998725521,1.11E-13,NA,0.018788057,0.00021598,0.127077746,0.018788057,0,1.396892059,0.996529741,1.03E-11,NA,-1.793142349,0.122873439,-1.793142349,0.122873439,-0.937470501
KKU-100,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.009765625,-0.990289735,1.543055216,0.024386144,-1,0.600293439,0.964428309,0.000000311,NA,0.014383691,0.001413684,0.182135024,0.014383691,0,0.616022718,0.971855221,0.000000106,NA,-1.793142349,-0.217157608,-1.793142349,-0.217157608,-0.937470501
KKU-156,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.009765625,-0.953292828,1.477067543,0.030380546,-1,0.534711713,0.914803379,0.0000154,NA,0.004480336,0.001104417,0.129723996,0.004480336,0,0.5220074,0.897690282,0.00003505,NA,-1.793142349,-0.217157608,-1.793142349,-0.217157608,-0.937470501
KKU-213,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.024460593,-0.919200411,1.208034229,0.143739028,-1,0.620241584,0.893021139,0.00004425,NA,0.025693037,0.001274082,0.22102473,0.025693037,0,0.63435478,0.847274913,0.000218225,NA,-1.793142349,0.18160933,-1.793142349,0.18160933,-0.937470501
KKU-214,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.011170421,-0.917236135,1.426428028,0.051691331,-1,0.716844143,0.973798069,7.77E-08,NA,0.012648642,0.001349934,0.134939462,0.012648642,0,0.831632488,0.9779491,3.71E-08,NA,-1.793142349,-0.15878811,-1.793142349,-0.15878811,-0.937470501
KKK-D068,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.009765625,-0.934751081,1.409338567,0.052544424,-1,0.640840293,0.961341299,0.000000443,NA,0.019714608,0.004537393,0.189004881,0.019714608,0,0.725878667,0.970838367,0.000000125,NA,-1.793142349,-0.217157608,-1.793142349,-0.217157608,-0.937470501
KKK-D131,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.016101178,-0.974676715,1.324725117,0.079406028,-1,0.688742768,0.984149616,8.62E-09,NA,0.045025645,0.003114051,0.267299309,0.045025645,0,0.748623928,0.985796887,5.01E-09,NA,-1.793142349,0,-1.793142349,0,-0.937470501
KKK-D138,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.015585944,-0.894084077,1.559027752,0.029861434,-0.892864489,1.579037377,0.994917516,1.09E-10,NA,0.019752542,0.006776221,0.129220599,0.019702344,0.002159013,1.641061796,0.996163271,4.48E-11,NA,-1.793142349,-0.01412454,-1.793142349,-0.01412454,-0.937470501
RBE,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.009765625,-0.540195916,1.262025602,0.022957813,-0.590007055,0.741947766,0.915392578,0.0000149,NA,0.010877187,0.066572652,0.184109532,0.00966612,0.036919212,0.649952706,0.925749413,0.000008305,NA,-1.793142349,-0.217157608,-1.793142349,-0.217157608,-0.937470501
SSP-25,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.02187934,-0.887766187,1.298673062,0.096463976,-1,0.740574745,0.97485458,6.34E-08,NA,0.02002561,0.001616444,0.176324141,0.02002561,0,0.790205538,0.977075241,4.22E-08,NA,-1.793142349,0.133176566,-1.793142349,0.133176566,-0.937470501
TFK-1,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.081286545,-0.937470501,1.051598493,0.241435244,-0.974496885,0.993376648,0.986736893,3.86E-09,NA,0.150005191,0.007275793,0.401616965,0.149684021,0.001218606,1.103605103,0.988306633,2.14E-09,NA,-1.793142349,0.703161014,-1.793142349,0.703161014,-0.937470501
YSCCC,Staurosporine,Targeted drug,TGF-beta/SMAD_signaling,TGF-Beta/SMAD_signaling_PKC,0.017823582,-0.986275616,1.383233609,0.070130227,-1,0.802074263,0.964093319,0.000000319,NA,0.042565996,0.001309981,0.248676509,0.042565996,0,0.884550743,0.97163675,0.000000111,NA,-1.793142349,0.044137337,-1.793142349,0.044137337,-0.937470501
HuCCA-1,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.328116846,-0.922270604,0.651291507,1.356787455,-1,0.794172563,0.958911888,0.00000117,NA,1.61624602,0.048407359,0.696747975,1.61624602,0,0.789962853,0.953208036,0.0000013,NA,-0.21625376,-0.267717712,-0.21625376,-0.267717712,-0.926474765
HuCCT-1,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.728626384,-0.874658552,0.465236984,2.14368977,-1,1.018082692,0.951418411,0.000001249,NA,0.623633489,0.001563858,0.644748706,0.565479058,0.09077789,2.046806351,0.985083605,6.06E-09,NA,-0.21625376,0.078758653,-0.21625376,0.078758653,-0.926474765
HuH-28,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.151264877,-0.999902013,0.998135355,0.350264893,-1,1.299399817,0.987340716,0.000000003,NA,0.57959494,0.002025386,0.575127177,0.57959494,0,1.322011854,0.99034527,8.59E-10,NA,-0.21625376,-0.604008142,-0.21625376,-0.604008142,-0.926474765
KKU-055,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.355512469,-0.789235499,0.684491686,0.540302992,-0.617643498,1.968877301,0.977204688,4.12E-08,NA,0.319382936,0.00059236,0.46843681,0.319127144,0.001217109,2.708019237,0.973766528,0.000000179,NA,-0.21625376,-0.232891403,-0.21625376,-0.232891403,-0.926474765
KKU-100,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.92213011,-0.963334752,0.530273422,2.034219282,-1,1.380446819,0.96603812,0.000000329,NA,1.032936091,0.000562072,0.639220698,1.032936091,0,1.195673423,0.966959006,0.000000236,NA,-0.21625376,0.181045963,-0.21625376,0.181045963,-0.926474765
KKU-156,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.220734749,-0.92970991,0.491323299,1.944693836,-0.981100602,2.332404855,0.997239136,1.14E-11,NA,1.091773518,0.000113164,0.653428169,1.091773518,0,2.33232955,0.988852942,3.64E-09,NA,-0.21625376,0.302875067,-0.21625376,0.302875067,-0.926474765
KKU-213,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.725072734,-0.926474765,0.584294978,1.37626434,-1,1.728672858,0.991888548,7.88E-10,NA,0.605096912,0.000149533,0.604736565,0.605096912,0,1.851873823,0.993005937,6.34E-10,NA,-0.21625376,0.076635334,-0.21625376,0.076635334,-0.926474765
KKU-214,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.484716396,-0.912551277,0.654978469,1.013781303,-1,1.48773214,0.996009931,1.63E-11,NA,0.442507091,0.000402086,0.565816501,0.442507091,0,1.94708702,0.991627375,8.74E-10,NA,-0.21625376,-0.09825853,-0.21625376,-0.09825853,-0.926474765
KKK-D068,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.60777977,-0.407933361,0.480130762,0.78231683,-0.316463348,1.953866759,0.980439351,2.23E-08,NA,0.858221366,0.149529799,0.685073841,0.678229513,0.183174285,1.956216113,0.984568052,8.81E-09,NA,-0.21625376,0,-0.21625376,0,-0.926474765
KKK-D131,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.784672777,-0.96759855,0.526913718,1.920966334,-1,1.226686227,0.98072208,2.05E-08,NA,0.933374366,0.000442355,0.635759769,0.933374366,0,1.205860349,0.98542638,8.71E-09,NA,-0.21625376,0.110942345,-0.21625376,0.110942345,-0.926474765
KKK-D138,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.493839323,-0.956749427,0.711985448,0.779519629,-0.915337778,2.278511089,0.994645833,6.15E-11,NA,0.628196093,0.002756941,0.593627661,0.627764895,0.00081095,2.356828241,0.995345203,3.47E-11,NA,-0.21625376,-0.090160572,-0.21625376,-0.090160572,-0.926474765
RBE,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.151080917,-0.918752232,0.442382403,2.360958302,-1,1.533562114,0.990592006,1.01E-09,NA,1.285060362,0.00206453,0.699100661,1.285060362,0,1.723940084,0.992729672,1.30E-09,NA,-0.21625376,0.277359614,-0.21625376,0.277359614,-0.926474765
SSP-25,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.739045426,-0.932022892,0.51854867,1.809023121,-1,1.227404423,0.991074374,6.24E-10,NA,0.832767869,0.00117162,0.638578356,0.832767869,0,1.423755979,0.996763619,8.48E-12,NA,-0.21625376,0.084924893,-0.21625376,0.084924893,-0.926474765
TFK-1,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.575462481,-0.566784786,0.499903017,2.640318097,-1,0.722503662,0.978629678,3.61E-08,NA,0.410380351,0.013716861,0.537246686,0.40410657,0.007674441,0.991225839,0.994945143,5.22E-11,NA,-0.21625376,-0.023729227,-0.21625376,-0.023729227,-0.926474765
YSCCC,TAE684,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.4068032,-0.955237881,0.723735703,0.782653392,-0.952490648,1.635245006,0.996223205,1.40E-11,NA,0.629836703,0.006556328,0.598207181,0.625531989,0.006097637,1.767558135,0.994851869,5.47E-11,NA,-0.21625376,-0.17436188,-0.21625376,-0.17436188,-0.926474765
HuCCA-1,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.552659887,-0.621175792,0.131816904,7.154879225,-1,4.333221071,0.985094154,6.04E-09,NA,7.482233146,0.228958695,0.938624637,7.482233146,0,4.180656307,0.987054966,3.21E-09,NA,0.716297184,0.028203889,0.716297184,0.028203889,-0.863533374
HuCCT-1,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.708247411,-0.823285147,0.087048096,7.11094041,-1,5,0.98567879,5.15E-09,NA,6.399475632,0.002956365,0.956458842,6.399475632,0,5,0.975839965,5.35E-08,NA,0.716297184,0.040205604,0.716297184,0.040205604,-0.863533374
HuH-28,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.203519472,-0.999625215,0.014768277,6.482185201,-1,5,0.933805084,0.00000497,NA,6.727920203,0.003753158,0.976330176,6.727920203,0,5,0.955694145,0.00000108,NA,0.716297184,0,0.716297184,0,-0.863533374
KKU-055,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,2.842376506,-0.766964613,0.320622659,3.477902826,-0.871339029,5,0.983090876,1.07E-08,NA,2.947410957,0.000762488,0.76002512,2.947410957,0,5,0.927957048,0.00000723,NA,0.716297184,-0.262615579,0.716297184,-0.262615579,-0.863533374
KKU-100,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.225143497,-0.927341449,0.165954724,6.509122918,-1,5,0.978505299,9.28E-08,NA,5.797720611,0.001687261,0.886649652,5.797720611,0,5,0.951894906,0.00000501,NA,0.716297184,0.001801038,0.716297184,0.001801038,-0.863533374
KKU-156,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.902624491,-0.253169714,0.091324699,6.572723165,-0.449664771,4.681035748,0.999789878,4.60E-17,NA,5.728903386,0.10253381,0.921046058,5.519497514,0.071282718,4.718290872,0.998101699,4.23E-12,NA,0.716297184,0.054747971,0.716297184,0.054747971,-0.863533374
KKU-213,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.142716932,-0.909411844,0.156930205,6.406441595,-1,5,0.980859223,2.24E-08,NA,4.578826924,0.000160748,0.87578775,4.578826924,0,2.669597221,0.964279302,0.000000416,NA,0.716297184,-0.005104564,0.716297184,-0.005104564,-0.863533374
KKU-214,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,5.204816044,-0.871623553,0.156267342,6.483800381,-1,5,0.968321654,0.000000205,NA,4.237911938,0.000734769,0.879554028,4.237911938,0,1.912388353,0.927664992,0.000007385,NA,0.716297184,0.000108201,0.716297184,0.000108201,-0.863533374
KKK-D068,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,4.944802709,-0.966678521,0.241499537,6.159893724,-1,5,0.897379268,0.0000399,NA,4.215336863,0.001177569,0.839489227,4.215336863,0,1.332612593,0.83335216,0.000319106,NA,0.716297184,-0.022148216,0.716297184,-0.022148216,-0.863533374
KKK-D131,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,10,0.695784288,0.026089113,10,-1,4.872774006,0.948556099,0.00000297,NA,10,0.730187413,0.976164785,10,0,4.910584599,0.941483897,0.00000465,NA,0.716297184,0.283702816,0.716297184,0.283702816,-0.863533374
KKK-D138,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,4.403634716,-0.96319708,0.149590548,5.549077879,-1,4.759238764,0.981930321,3.45E-08,NA,4.847786028,0.002473929,0.916920451,4.847786028,0,3.625773285,0.97270017,0.000000386,NA,0.716297184,-0.072485897,0.716297184,-0.072485897,-0.863533374
RBE,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,3.469784614,-0.940480497,0.209141527,5.122531444,-1,2.820758819,0.960860521,0.000000474,NA,3.47179966,0.001092552,0.860373776,3.47179966,0,2.366390698,0.968322693,0.000000216,NA,0.716297184,-0.175994667,0.716297184,-0.175994667,-0.863533374
SSP-25,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,4.722972922,-0.863533374,0.166285226,6.045281025,-1,4.453444557,0.976274903,4.88E-08,NA,4.379778679,0.004194879,0.886232034,4.379778679,0,2.452585815,0.968475134,0.000000183,NA,0.716297184,-0.042081728,0.716297184,-0.042081728,-0.863533374
TFK-1,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,2.545662401,-0.814608931,0.327271828,3.217800521,-0.840675959,4.231284047,0.996513285,1.99E-11,NA,2.295995558,0.00096577,0.754990664,2.295995558,0,3.265136299,0.985109362,8.61E-09,NA,0.716297184,-0.310496376,0.716297184,-0.310496376,-0.863533374
YSCCC,PHA665752,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,6.520112769,-0.484612942,0.053869301,8.14473388,-1,4.938851175,0.984881706,0.000000029,NA,7.464710147,0.162341903,0.972003416,7.464710147,0,5,0.976950657,0.0000002,NA,0.716297184,0.097957923,0.716297184,0.097957923,-0.863533374
HuCCA-1,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.105423522,-0.335224343,0.384389268,1.837443789,-0.458303027,1.35425275,0.988463849,2.18E-09,NA,3.436845285,0.34077558,0.810975556,1.857533745,0.278905925,1.351806543,0.988480682,2.17E-09,NA,0.030993983,0.012534718,0.030993983,0.012534718,-0.862280649
HuCCT-1,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.950858124,-0.814488413,0.424299275,2.284633433,-1,1.253120149,0.978985025,3.43E-08,NA,0.903835916,0.004604344,0.693655524,0.860346058,0.051210005,2.180108245,0.980260018,3.32E-08,NA,0.030993983,-0.052878262,0.030993983,-0.052878262,-0.862280649
HuH-28,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.750195987,-0.999879864,0.523122081,1.429343154,-1,1.705208869,0.985213226,1.59E-08,NA,2.153064168,0.001749922,0.7832214,2.153064168,0,1.555639918,0.983368564,1.56E-08,NA,0.030993983,-0.155819246,0.030993983,-0.155819246,-0.862280649
KKU-055,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.222885464,-0.727867476,0.754658177,0.345628851,-0.565994761,1.791001409,0.982025378,1.42E-08,NA,0.177852346,0.001325949,0.408669972,0.1777459,0.00061187,2.061636576,0.989203567,1.88E-09,NA,0.030993983,-0.682912237,0.030993983,-0.682912237,-0.862280649
KKU-100,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.078719404,-0.685401368,0.399410233,2.140297863,-0.807432547,1.415928087,0.9837693,8.87E-09,NA,1.23304368,0.030705727,0.722712559,1.148824169,0.067351833,2.04596207,0.984538426,1.12E-08,NA,0.030993983,0.001914508,0.030993983,0.001914508,-0.862280649
KKU-156,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.073974533,-0.930068051,0.437769183,2.222618106,-1,1.510514413,0.98417688,8.01E-09,NA,0.967058623,0.000119897,0.670310257,0.947758527,0.031767388,3.256198355,0.998112245,5.66E-13,NA,0.030993983,0,0.030993983,0,-0.862280649
KKU-213,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.71321484,-0.923239866,0.627641139,1.075404627,-0.93100334,2.561197582,0.999673269,9.61E-16,NA,0.64814635,0.000099,0.593778932,0.64814635,0,3.102428795,0.998189364,1.02E-12,NA,0.030993983,-0.177773612,0.030993983,-0.177773612,-0.862280649
KKU-214,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.764319547,-0.895110964,0.499554095,1.713488053,-0.971234934,1.340022835,0.98297959,0.000000011,NA,0.723605082,0.000463032,0.63070136,0.711687975,0.020849775,2.524333617,0.992053884,3.56E-10,NA,0.030993983,-0.147719017,0.030993983,-0.147719017,-0.862280649
KKK-D068,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.385449631,-0.890131738,0.605503485,1.487285777,-1,0.812739292,0.952650019,0.00000114,NA,0.659960441,0.009488495,0.600405531,0.659960441,0,0.883177167,0.971696214,0.000000108,NA,0.030993983,-0.445026349,0.030993983,-0.445026349,-0.862280649
KKK-D131,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.359428851,-0.924382262,0.366560775,3.124806402,-1,1.321101031,0.94760662,0.00000176,NA,1.561853604,0.002539165,0.742441109,1.52183143,0.020352329,1.489158415,0.972406376,9.67E-08,NA,0.030993983,0.1023625,0.030993983,0.1023625,-0.862280649
KKK-D138,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,0.817768917,-0.945633586,0.525421962,1.149432646,-0.853996968,2.927969877,0.987571526,2.70E-09,NA,0.994936577,0.00488129,0.710104144,0.974834262,0.038624832,3.926402929,0.987781266,3.43E-09,NA,0.030993983,-0.118363384,0.030993983,-0.118363384,-0.862280649
RBE,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.23805304,-0.769416847,0.387302693,2.978613847,-1,1.252078227,0.97804491,3.68E-08,NA,1.415722656,0.015672324,0.721615644,1.361986662,0.03336568,1.684711374,0.986551296,0.000000004,NA,0.030993983,0.061745268,0.030993983,0.061745268,-0.862280649
SSP-25,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.117518548,-0.862280649,0.424442348,2.574526327,-1,1.316406892,0.984808772,7.69E-09,NA,1.208658707,0.00397764,0.689905437,1.201048135,0.00538447,1.656027417,0.995034645,4.83E-11,NA,0.030993983,0.017260757,0.030993983,0.017260757,-0.862280649
TFK-1,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.129641993,-0.627327263,0.409722206,3.264520711,-1,1.035242637,0.984070773,8.73E-09,NA,0.834863533,0.006621249,0.613268294,0.834863533,0,1.255847339,0.981056691,2.73E-08,NA,0.030993983,0.021946845,0.030993983,0.021946845,-0.862280649
YSCCC,Crizotinib,Targeted drug,RTK_signaling_MET_ALK,RTK_signaling_MET_ALK,1.625870154,-0.5620821,0.323313116,2.660481149,-0.644153275,1.68143516,0.972297424,0.000000102,NA,2.393244862,0.126036171,0.803809781,1.999787734,0.157484559,2.107303657,0.976286059,4.92E-08,NA,0.030993983,0.180091876,0.030993983,0.180091876,-0.862280649
HuCCA-1,Bortezomib,Targeted drug,Proteosome,Proteosome,0.009765625,-0.787685597,1.685527966,0.002668311,-0.747968194,1.007336644,0.947188132,0.000001825,NA,0.002263181,0.021711331,0.044613699,0.00215886,0.031074652,1.359369112,0.962877171,0.000000389,NA,-2.010299957,0,-2.010299957,0,-0.856979377
